payment_id,loan_id,payment_date,due_amount,paid_amount,days_late,payment_status
PAY035662,LN00897,2024-12-11,16123.55,9481.62,0,On Time
PAY006639,LN02485,2024-09-09,5296.3,19672.83,10,Late
PAY043032,LN03085,2026-01-04,8741.92,2499.46,0,On Time
PAY013454,LN05641,2025-03-10,4608.24,10461.3,3,Late
PAY009754,LN04339,2025-09-14,8089.04,7664.99,3,Late
PAY035015,LN03363,2026-06-11,16886.2,3651.75,10,Late
PAY029541,LN01403,2026-04-22,15637.99,2087.32,30,Missed
PAY014894,LN03662,2025-02-07,5126.22,14347.02,0,On Time
PAY017415,LN01640,2026-06-13,17547.17,10625.26,3,Late
PAY031004,LN02875,2025-08-14,5182.51,14351.9,0,On Time
PAY039188,LN03178,2026-06-07,14950.48,10770.96,10,Late
PAY027742,LN05158,2024-11-12,2135.02,,3,Late
PAY043085,LN00862,2026-01-20,13352.02,11708.61,0,On Time
PAY014515,LN02168,2026-02-14,7221.1,19754.73,10,Late
PAY018006,LN05888,2025-04-24,13228.91,10853.01,3,Late
PAY038714,LN01678,2026-04-10,2009.83,5003.14,0,On Time
PAY030729,LN00262,2025-10-24,1815.97,19268.3,0,On Time
PAY038472,LN02309,2025-02-08,18930.55,9574.99,0,On Time
PAY019521,LN05249,2026-07-27,7699.23,12832.49,0,On Time
PAY035384,LN04757,2025-12-12,12811.62,9518.04,0,On Time
PAY036772,LN02380,2026-03-29,14449.0,16656.23,30,Missed
PAY035439,LN01435,2025-11-01,12020.31,14213.28,10,Late
PAY013932,LN05911,2025-06-02,19840.57,14434.44,3,Late
PAY037658,LN01680,2025-03-28,8504.42,6760.25,0,On Time
PAY021555,LN02325,2026-01-14,3506.01,4371.95,0,On Time
PAY045342,LN99999,2025-05-12,14336.71,4513.15,30,Missed
PAY041011,LN03349,2026-04-22,19367.86,9364.17,0,On Time
PAY017635,LN02068,2026-03-22,14115.56,1096.29,0,On Time
PAY041635,LN05882,2024-12-12,18572.18,12351.69,3,Late
PAY033251,LN04288,2026-07-04,18704.84,1555.29,10,Late
PAY002540,LN03875,2026-05-23,19711.48,13653.39,0,On Time
PAY037978,LN00979,2026-08-06,17446.84,9625.52,0,On Time
PAY035065,LN01585,2025-07-10,11489.81,15900.85,0,On Time
PAY032619,LN05054,2025-11-22,14101.9,8935.71,30,Missed
PAY045077,LN04976,2026-06-16,16440.67,18701.12,10,Late
PAY025051,LN01690,2026-02-20,12471.15,10802.07,3,Late
PAY010709,LN03689,2024-12-15,8257.38,10084.19,0,On Time
PAY043698,LN03648,2025-07-04,13305.79,16840.76,10,Late
PAY034461,LN04792,2025-09-16,17751.48,5695.13,0,On Time
PAY031149,LN03747,2025-10-31,18319.29,5805.23,0,On Time
PAY008397,LN02188,2026-01-21,4447.51,2770.87,0,On Time
PAY004572,LN03449,2024-11-11,7135.14,9873.23,0,On Time
PAY044580,LN00772,2026-06-16,6548.04,4064.98,10,Late
PAY000796,LN05940,2025-11-29,19807.77,1877.08,10,Late
PAY024731,LN00586,2025-01-13,17417.96,9156.78,0,On Time
PAY018901,LN05020,2024-11-18,5077.55,17903.78,10,Late
PAY000513,LN01396,2024-11-27,15769.65,15628.53,0,On Time
PAY029107,LN02995,2024-09-13,17111.08,3690.16,0,On Time
PAY042006,LN02802,2025-11-08,2204.43,2389.27,3,Late
PAY030725,LN01096,2025-04-29,15437.63,6899.47,0,On Time
PAY019806,LN99999,2025-10-28,2912.14,,0,On Time
PAY029083,LN01648,2026-04-28,4792.46,15849.96,30,Missed
PAY026705,LN01741,2026-06-18,8839.0,17626.19,10,Late
PAY023491,LN00583,2026-08-06,17322.13,13436.69,0,On Time
PAY008240,LN00844,2026-04-08,13212.94,18256.34,0,On Time
PAY001456,LN04535,2025-11-09,18120.6,1910.33,3,Late
PAY006792,LN00935,2026-06-23,5266.48,16405.87,3,Late
PAY020052,LN01986,2025-04-06,6427.17,,0,On Time
PAY029447,LN00460,2025-07-29,9600.24,15180.75,0,On Time
PAY021821,LN02074,2025-12-20,18743.76,8243.24,0,On Time
PAY010014,LN00750,2025-03-17,19379.77,7133.0,0,On Time
PAY010291,LN02270,2025-03-27,1212.9,6530.11,3,Late
PAY044967,LN05809,2025-09-30,4715.41,18761.04,10,Late
PAY021245,LN03213,2026-07-13,3983.95,8110.67,0,On Time
PAY003522,LN03220,2025-09-04,11788.14,6552.06,10,Late
PAY001730,LN03620,2026-02-18,2397.5,17484.89,10,Late
PAY031668,LN03277,2025-11-28,1618.16,5564.68,0,On Time
PAY004559,LN02242,2025-11-18,19478.94,13526.18,0,On Time
PAY004830,LN00261,2024-12-19,10775.65,11702.83,0,On Time
PAY004808,LN02867,2024-11-17,18988.05,19410.55,10,Late
PAY019564,LN04772,2024-12-15,8556.39,14193.06,0,On Time
PAY034257,LN02065,2025-10-07,15526.23,4952.74,10,Late
PAY000699,LN03650,2026-03-20,2086.65,12146.28,0,On Time
PAY041728,LN03268,2026-03-25,8472.93,1651.22,0,On Time
PAY011539,LN01658,2025-05-08,4718.6,13196.91,0,On Time
PAY007313,LN05883,2025-08-20,1576.29,4840.9,10,Late
PAY024984,LN02923,2024-09-15,19431.02,4947.88,3,Late
PAY032300,LN03713,2025-08-09,9372.39,2967.38,0,On Time
PAY034357,LN02459,2026-02-05,12565.64,1636.96,30,Missed
PAY039991,LN03391,2024-12-24,15574.98,13592.32,3,Late
PAY000302,LN04305,2026-03-11,9341.47,19087.36,0,On Time
PAY001127,LN02870,2025-04-10,19127.28,8479.52,0,On Time
PAY022227,LN04740,2025-05-20,11344.88,13876.18,3,Late
PAY037374,LN01753,2024-09-21,16358.03,17058.38,10,Late
PAY023799,LN00113,2025-08-29,6400.31,6271.49,10,Late
PAY006934,LN01042,2026-03-11,15818.98,18609.07,0,On Time
PAY021971,LN03137,2025-03-07,14634.59,7735.89,0,On Time
PAY018569,LN04883,2025-06-08,19935.83,4141.94,0,On Time
PAY032349,LN01589,2025-01-16,2801.77,11112.68,3,Late
PAY009832,LN02218,2026-04-30,11712.66,14863.38,30,Missed
PAY018758,LN05230,2026-09-08,19768.6,2084.7,3,Late
PAY002060,LN03200,2025-11-18,16395.46,14322.26,0,On Time
PAY038502,LN04894,2025-08-31,10654.83,15253.71,3,Late
PAY044776,LN04206,2025-08-04,4609.82,1132.65,0,On Time
PAY010590,LN01331,2026-01-08,6991.6,2905.75,0,On Time
PAY003771,LN00832,2025-09-27,14378.68,19466.4,3,Late
PAY004549,LN04419,2026-01-02,4200.74,2823.35,0,On Time
PAY016299,LN02496,2025-11-21,5842.67,13450.31,10,Late
PAY034688,LN04321,2024-11-24,12859.4,13379.28,3,Late
PAY017788,LN99999,2025-06-03,1776.21,16437.89,0,On Time
PAY005450,LN01946,2025-01-22,8437.7,1493.55,30,Missed
PAY041896,LN02041,2026-05-06,6877.77,10573.9,0,On Time
PAY034445,LN01858,2026-06-19,4505.0,14779.13,30,Missed
PAY009572,LN01305,2026-05-21,3874.58,6206.24,30,Missed
PAY026729,LN02290,2026-06-30,6917.32,2758.32,0,On Time
PAY028815,LN02344,2024-11-07,11970.0,12343.44,30,Missed
PAY015013,LN04846,2026-03-27,9936.99,1236.3,10,Late
PAY028211,LN04637,2024-10-20,2463.6,,30,Missed
PAY023622,LN00724,2026-07-14,16268.92,18966.31,10,Late
PAY014024,LN00854,2025-01-22,17559.91,11790.46,0,On Time
PAY025007,LN04747,2026-03-24,18145.29,16681.82,0,On Time
PAY035616,LN01525,2026-01-08,4835.39,18119.52,30,Missed
PAY015765,LN01068,2026-03-27,7469.32,4987.55,0,On Time
PAY026298,LN04062,2026-03-28,7311.8,16508.55,10,Late
PAY034525,LN00034,2024-12-03,19906.18,3062.6,0,On Time
PAY001906,LN03280,2026-06-14,1816.3,17086.68,0,On Time
PAY030863,LN02602,2026-05-19,18409.89,1295.86,3,Late
PAY011573,LN99999,2025-07-11,3399.21,1602.68,10,Late
PAY023025,LN03163,2026-01-03,10034.22,8472.12,3,Late
PAY032289,LN05791,2026-05-23,12205.54,12799.26,30,Missed
PAY000497,LN03122,2025-08-14,7035.56,6948.51,10,Late
PAY035516,LN00556,2026-01-17,9658.39,10892.81,3,Late
PAY026331,LN04667,2025-08-23,10555.17,14523.7,3,Late
PAY023911,LN02165,2026-03-19,5615.2,2972.27,3,Late
PAY017049,LN03511,2026-01-06,1265.16,4921.05,0,On Time
PAY021953,LN03327,2024-10-08,7557.35,9439.37,0,On Time
PAY015217,LN05896,2025-10-16,16072.71,8266.67,0,On Time
PAY038865,LN00655,2026-03-05,3633.01,12165.53,0,On Time
PAY034129,LN03394,2025-08-29,17969.46,10145.23,0,On Time
PAY041533,LN01821,2026-04-22,18064.7,9478.13,3,Late
PAY025863,LN02698,2025-06-23,13159.42,5007.49,10,Late
PAY036743,LN01749,2026-08-11,10113.34,18116.76,0,On Time
PAY020498,LN05078,2025-11-23,6457.7,8560.58,30,Missed
PAY025963,LN04918,2026-03-30,14091.74,18432.05,0,On Time
PAY036942,LN02504,2024-11-15,7453.78,10016.04,10,Late
PAY033181,LN02388,2025-03-27,18089.2,,0,On Time
PAY025232,LN01725,2026-05-14,12325.11,17354.43,3,Late
PAY000024,LN04053,2024-09-28,6848.73,15849.03,0,On Time
PAY042639,LN01405,2026-07-29,19140.14,11658.58,3,Late
PAY015675,LN03938,2024-12-21,13453.15,9499.61,30,Missed
PAY033459,LN03936,2026-03-25,17486.5,14773.0,3,Late
PAY025011,LN00968,2024-12-08,6093.32,9063.08,0,On Time
PAY031400,LN03372,2024-09-19,13381.6,,10,Late
PAY035710,LN02761,2026-02-26,12325.61,8656.87,0,On Time
PAY039954,LN04273,2025-08-18,10448.43,15706.09,0,On Time
PAY001646,LN05522,2026-01-02,12758.91,11043.2,0,On Time
PAY008647,LN05727,2024-12-21,9946.89,17222.65,3,Late
PAY012148,LN01340,2025-12-19,6131.26,4328.36,10,Late
PAY013514,LN00101,2025-04-20,18476.65,5281.99,0,On Time
PAY045118,LN00565,2025-04-29,15463.64,17760.48,3,Late
PAY041172,LN01964,2025-07-26,16940.04,17255.18,0,On Time
PAY030324,LN02842,2026-06-24,4872.96,15136.24,30,Missed
PAY017862,LN05025,2024-12-15,7589.09,13696.44,3,Late
PAY037891,LN02548,2025-10-05,12908.84,6452.38,3,Late
PAY007254,LN04690,2025-03-31,12008.14,10565.52,0,On Time
PAY020908,LN03282,2024-10-07,15268.31,15883.14,10,Late
PAY039631,LN04596,2025-12-10,3997.78,7939.66,30,Missed
PAY027188,LN02374,2026-08-02,10080.22,13675.49,10,Late
PAY017385,LN00925,2026-02-12,3327.7,3371.76,0,On Time
PAY038105,LN04860,2026-08-21,15188.17,17917.54,10,Late
PAY030322,LN03900,2026-06-24,8399.89,3458.84,0,On Time
PAY031095,LN01604,2026-06-24,4439.95,19249.92,10,Late
PAY039664,LN05422,2024-12-16,11153.96,4414.01,0,On Time
PAY028838,LN03554,2025-01-05,8387.9,9688.66,3,Late
PAY027432,LN00890,2025-09-23,10975.07,14779.56,10,Late
PAY020486,LN03213,2025-08-23,3595.87,12928.21,0,On Time
PAY011514,LN01423,2024-12-04,3137.74,2908.44,10,Late
PAY036739,LN04077,2026-04-10,12507.49,15956.57,3,Late
PAY031669,LN01961,2025-06-23,5281.76,8715.34,0,On Time
PAY011451,LN03007,2025-02-10,13123.15,14754.33,0,On Time
PAY041337,LN04448,2026-04-26,19850.31,19573.56,0,On Time
PAY045941,LN01674,2025-03-30,7630.65,10938.47,0,On Time
PAY011077,LN03952,2025-10-07,3346.59,16781.02,0,On Time
PAY013144,LN04194,2024-12-13,17929.69,2654.29,0,On Time
PAY024588,LN05470,2024-09-08,13665.85,10158.35,10,Late
PAY030157,LN04191,2025-12-20,5146.17,12125.55,3,Late
PAY015094,LN05098,2025-09-14,6829.86,2835.55,30,Missed
PAY010391,LN04636,2026-01-24,14866.64,17480.8,30,Missed
PAY001836,LN04656,2025-05-02,18682.99,2494.53,0,On Time
PAY030563,LN03773,2026-07-18,18990.13,10467.21,0,On Time
PAY030241,LN02559,2025-11-05,19648.71,17958.26,10,Late
PAY017238,LN00841,2026-06-16,8524.79,9107.0,30,Missed
PAY008964,LN01054,2024-10-26,12665.76,10999.63,0,On Time
PAY006556,LN05482,2026-06-29,18235.27,13436.7,0,On Time
PAY010363,LN01472,2025-07-03,5755.87,11752.56,0,On Time
PAY040937,LN02645,2026-05-04,3934.07,5183.98,0,On Time
PAY028891,LN03054,2026-05-05,4027.91,13229.77,0,On Time
PAY014803,LN00227,2026-07-15,6131.32,2953.16,0,On Time
PAY039560,LN05890,2025-10-21,8105.72,14511.94,0,On Time
PAY009677,LN01289,2026-02-14,6027.88,10106.75,0,On Time
PAY009528,LN04183,2026-01-07,12318.09,8726.46,10,Late
PAY009287,LN00839,2025-11-04,4484.17,,0,On Time
PAY032049,LN03370,2026-03-04,6803.09,15096.25,0,On Time
PAY005272,LN05869,2025-02-22,10045.08,5246.95,3,Late
PAY022221,LN02129,2025-11-30,4827.64,16231.47,10,Late
PAY006882,LN03638,2025-12-20,19229.46,11513.73,10,Late
PAY041181,LN01748,2025-01-04,17571.36,13406.54,3,Late
PAY024535,LN04788,2026-02-13,8479.61,10799.32,0,On Time
PAY028164,LN05315,2024-11-16,10700.84,,10,Late
PAY022712,LN04485,2025-05-07,7403.94,18088.6,3,Late
PAY038325,LN04144,2025-07-24,9937.47,8508.65,0,On Time
PAY005552,LN00469,2024-12-15,1891.15,18612.0,0,On Time
PAY004778,LN03480,2026-08-15,19277.97,16374.41,30,Missed
PAY000299,LN04997,2025-02-26,13657.74,4748.62,0,On Time
PAY004270,LN01551,2026-04-01,4683.05,12374.13,10,Late
PAY002626,LN05486,2024-12-03,18436.64,18831.37,0,On Time
PAY031485,LN03286,2025-05-01,12328.65,12283.1,3,Late
PAY027893,LN05015,2026-02-24,9388.13,5114.58,10,Late
PAY003578,LN05717,2024-12-04,4113.31,12118.13,10,Late
PAY029822,LN02305,2026-07-29,16269.33,12468.66,0,On Time
PAY021468,LN02680,2026-07-17,1838.05,5774.93,3,Late
PAY043010,LN04472,2026-09-05,12852.02,5871.2,0,On Time
PAY034967,LN00872,2026-06-17,12929.73,18825.57,0,On Time
PAY044980,LN02043,2026-03-13,11580.89,12374.99,0,On Time
PAY021597,LN01307,2025-01-12,5748.3,1764.28,3,Late
PAY002395,LN00869,2026-05-02,4028.44,14150.37,0,On Time
PAY045254,LN03988,2025-06-13,2600.34,4290.65,0,On Time
PAY028357,LN00266,2026-08-13,18022.64,14225.29,0,On Time
PAY038610,LN01002,2025-08-10,12056.87,3083.01,0,On Time
PAY010372,LN04602,2025-06-13,4164.25,11414.48,30,Missed
PAY022192,LN01541,2025-10-12,7167.95,15318.53,30,Missed
PAY009517,LN01179,2026-08-20,9750.97,5023.64,3,Late
PAY041269,LN04960,2025-04-30,16792.02,1190.56,0,On Time
PAY010617,LN00212,2025-02-05,3878.02,1530.03,0,On Time
PAY044758,LN05611,2025-06-12,10330.4,13826.69,0,On Time
PAY023516,LN04886,2025-07-23,3493.02,1165.16,0,On Time
PAY005815,LN02241,2024-11-14,17091.15,14271.58,10,Late
PAY005096,LN03423,2025-11-11,8491.37,9075.81,10,Late
PAY044604,LN04163,2024-09-10,5566.24,12158.56,10,Late
PAY029202,LN03031,2025-03-07,3527.25,4739.96,10,Late
PAY007217,LN02345,2025-05-09,7650.68,9476.09,0,On Time
PAY001591,LN00793,2025-06-30,10106.83,2099.99,3,Late
PAY013559,LN00561,2026-07-26,16529.74,14306.38,0,On Time
PAY019437,LN04352,2025-07-22,13324.51,15370.21,30,Missed
PAY035779,LN02216,2025-11-05,8939.51,2118.46,0,On Time
PAY019725,LN02098,2026-07-25,2213.41,10171.39,0,On Time
PAY042383,LN00786,2026-05-08,18899.98,12916.25,30,Missed
PAY002535,LN03632,2025-10-22,4016.0,12879.28,10,Late
PAY008563,LN02680,2025-05-02,3012.91,1685.14,0,On Time
PAY045541,LN02587,2025-02-20,18916.61,10724.19,0,On Time
PAY002436,LN01395,2025-05-06,7666.28,3393.78,0,On Time
PAY019941,LN01899,2025-11-19,9436.91,10001.96,3,Late
PAY041363,LN01792,2024-12-30,19281.94,2067.12,0,On Time
PAY038869,LN05481,2026-07-11,17661.6,3156.5,10,Late
PAY015937,LN01020,2026-08-18,8572.79,2083.2,0,On Time
PAY039600,LN05654,2024-10-18,15495.3,10892.65,0,On Time
