transaction_id,account_id,transaction_date,transaction_type,amount,channel
TXN118066,ACC07626,2025-01-15,Withdrawal,26454.38,Branch
TXN024245,ACC05757,2025-09-10,Deposit,32729.38,Branch
TXN076994,ACC08489,2026-05-06,Withdrawal,45958.14,ATM
TXN125229,ACC02108,2025-08-20,Deposit,32089.48,Mobile
TXN128472,ACC11260,2025-09-19,Withdrawal,5944.6,ATM
TXN042367,ACC11223,2026-04-20,Transfer,30887.92,Mobile
TXN075945,ACC03979,2024-09-26,Transfer,1928.62,Online
TXN096749,ACC01505,2025-06-13,Transfer,21878.73,Mobile
TXN104462,ACC05226,2025-12-28,Payment,28378.59,Mobile
TXN110419,ACC09240,2026-07-19,Deposit,34927.59,ATM
TXN016576,ACC10264,2026-08-09,Transfer,36201.06,ATM
TXN052948,ACC09832,2025-10-01,Payment,39112.72,Mobile
TXN043003,ACC02916,2026-05-15,Deposit,11390.65,Online
TXN137236,ACC11230,2024-12-29,Payment,26196.89,ATM
TXN135388,ACC10485,2026-01-01,Transfer,18931.5,Mobile
TXN025594,ACC03760,2026-08-06,Withdrawal,31434.51,ATM
TXN134218,ACC00019,2026-08-09,Withdrawal,32318.57,ATM
TXN052097,ACC08894,2025-09-28,Deposit,24260.37,Online
TXN026041,ACC11050,2026-02-08,Deposit,23733.19,ATM
TXN006330,ACC06923,2025-07-28,Withdrawal,14665.01,Branch
TXN135816,ACC00769,2024-10-29,Payment,2853.37,ATM
TXN026664,ACC00972,2025-08-25,Payment,39919.6,Branch
TXN025481,ACC00327,2026-06-23,Payment,22394.91,Branch
TXN132642,ACC08374,2024-10-29,Deposit,17148.33,ATM
TXN074066,ACC09858,2026-05-02,Transfer,42902.58,Branch
TXN065435,ACC09231,2026-07-05,Transfer,38682.06,Branch
TXN096170,ACC11616,2026-07-05,Deposit,25050.5,Branch
TXN128171,ACC11605,2026-03-15,Deposit,30302.18,ATM
TXN095818,ACC03438,2024-11-19,Transfer,12937.27,Online
TXN067067,ACC01796,2026-02-25,Payment,36767.37,Mobile
TXN032518,ACC04695,2026-01-27,Transfer,22250.06,Online
TXN118595,ACC11594,2026-09-04,Deposit,615.27,Branch
TXN034157,ACC09018,2026-05-20,Payment,24867.59,ATM
TXN020175,ACC04020,2025-02-17,Withdrawal,43362.22,Mobile
TXN001441,ACC06873,2026-08-29,Withdrawal,27165.68,Branch
TXN138453,ACC08490,2024-12-29,Withdrawal,38499.15,ATM
TXN050114,ACC00577,2025-02-12,Payment,5295.65,ATM
TXN108092,ACC08782,2024-11-25,Transfer,29318.57,ATM
TXN016054,ACC11254,2025-08-01,Withdrawal,34069.68,Online
TXN075586,ACC07571,2024-11-13,Withdrawal,48150.99,Mobile
TXN056622,ACC11718,2025-04-19,Transfer,18946.85,Mobile
TXN058582,ACC08094,2025-12-25,Transfer,17612.56,Branch
TXN018239,ACC04284,2025-11-15,,1605.14,Mobile
TXN086810,ACC04052,2025-06-14,Transfer,24790.59,Mobile
TXN064178,ACC09440,2026-02-03,Withdrawal,48885.54,Mobile
TXN096279,ACC08849,2026-04-11,Withdrawal,35302.68,Online
TXN117523,ACC00080,2025-05-05,Payment,13658.6,Online
TXN110611,ACC04456,2026-06-17,Payment,33833.58,Branch
TXN117147,ACC11441,2026-07-10,Withdrawal,38472.12,Online
TXN015664,ACC07557,2026-02-04,Transfer,29076.41,Online
TXN092681,ACC01355,2025-01-22,Deposit,40949.98,ATM
TXN095727,ACC05127,2024-12-22,Transfer,14957.78,Mobile
TXN052895,ACC06602,2026-02-27,Payment,22073.83,Branch
TXN096510,ACC03382,2025-04-28,Deposit,1331.06,ATM
TXN111789,ACC11522,2026-05-15,Deposit,36170.31,ATM
TXN027828,ACC06195,2025-02-09,Withdrawal,31954.11,ATM
TXN094320,ACC03879,2026-03-17,Deposit,48926.01,ATM
TXN100274,ACC07622,2025-05-18,Withdrawal,33565.0,Branch
TXN125875,ACC10603,2025-04-08,Withdrawal,3280.29,Online
TXN024311,ACC07532,2025-07-01,Withdrawal,2630.94,Branch
TXN121022,ACC05694,2025-12-06,Payment,21546.95,ATM
TXN059568,ACC06262,2025-01-24,Withdrawal,39812.83,Branch
TXN012889,ACC05612,2025-01-21,Payment,38350.07,Branch
TXN041516,ACC09771,2025-04-30,Payment,25934.0,Branch
TXN120042,ACC07554,2025-03-03,Withdrawal,30049.04,Online
TXN101097,ACC02505,2025-01-17,Payment,325.84,ATM
TXN055036,ACC09636,2024-12-13,Transfer,3603.34,Branch
TXN104213,ACC03578,2025-09-27,Transfer,9682.18,Mobile
TXN018192,ACC05320,2025-11-05,Payment,9935.0,Online
TXN129602,ACC09638,2026-07-28,Payment,39508.2,Mobile
TXN119783,ACC03677,2025-07-24,Payment,12499.58,Online
TXN013411,ACC11987,2025-03-26,Deposit,25329.61,Online
TXN033201,ACC05924,2024-09-21,Deposit,9277.11,Mobile
TXN037343,ACC02224,2026-08-17,Withdrawal,48966.58,Branch
TXN026117,ACC09618,2025-07-26,Payment,24561.55,ATM
TXN072710,ACC02457,2025-06-29,Deposit,26137.7,ATM
TXN136786,ACC08272,2026-07-09,Transfer,44567.46,ATM
TXN004584,ACC03015,2025-01-16,Payment,8614.58,Mobile
TXN104796,ACC07196,2026-04-15,Transfer,46483.56,Branch
TXN046483,ACC00403,2026-03-10,Withdrawal,33509.58,ATM
TXN041845,ACC06809,2026-04-13,Deposit,38864.99,Mobile
TXN117302,ACC10074,2024-09-17,Deposit,23513.5,Branch
TXN098309,ACC08229,2025-01-09,Payment,47817.38,ATM
TXN077561,ACC00315,2024-10-28,Deposit,47076.43,Mobile
TXN106027,ACC10468,2025-12-19,Deposit,2939.46,Branch
TXN091277,ACC02562,2024-10-13,Deposit,17887.32,Branch
TXN087712,ACC07848,2026-05-08,Withdrawal,40943.13,ATM
TXN009563,ACC04122,2026-05-10,Transfer,34941.72,ATM
TXN001226,ACC01185,2025-01-29,Payment,39894.44,Branch
TXN093950,ACC04104,2026-08-05,Payment,36762.03,ATM
TXN089245,ACC04176,2025-06-09,Payment,28445.34,Branch
TXN106244,ACC07267,2026-03-06,Withdrawal,16336.44,Online
TXN108394,ACC03749,2025-09-23,Deposit,16964.0,ATM
TXN057186,ACC08705,2025-01-15,Transfer,12036.06,Mobile
TXN107031,ACC11997,2024-11-13,Deposit,13493.26,Online
TXN068167,ACC03345,2024-10-06,Withdrawal,12483.99,Mobile
TXN085770,ACC03616,2025-10-17,Deposit,24639.35,Online
TXN081851,ACC07241,2025-10-26,Withdrawal,24663.54,Branch
TXN135394,ACC00968,2026-06-29,Deposit,9739.14,Mobile
TXN097944,ACC10408,2025-04-01,Transfer,16987.74,ATM
TXN127787,ACC01200,2025-07-21,Withdrawal,12452.6,Online
TXN128721,ACC04619,2026-04-22,Transfer,8356.57,ATM
TXN107074,ACC08510,2026-05-21,Transfer,12187.51,Mobile
TXN112683,ACC07157,2024-10-28,Withdrawal,5959.21,Branch
TXN113685,ACC08633,2025-03-04,Withdrawal,2238.78,Mobile
TXN106549,ACC04250,2025-06-24,Withdrawal,11534.3,Online
TXN000457,ACC01883,2025-05-11,Transfer,19203.24,Mobile
TXN108447,ACC01509,2026-01-14,Transfer,37437.8,Online
TXN131324,ACC08340,2025-04-07,Withdrawal,32177.7,ATM
TXN019516,ACC03433,2025-04-19,Payment,39771.6,Branch
TXN084299,ACC09198,2025-03-29,Payment,30727.04,ATM
TXN011275,ACC00427,2024-12-09,Deposit,21480.86,Branch
TXN017123,ACC09855,2025-01-06,Transfer,40721.21,Branch
TXN054776,ACC04823,2024-12-23,Transfer,36228.03,Mobile
TXN006681,ACC09378,2026-08-28,Withdrawal,21254.83,Branch
TXN049657,ACC02468,2025-05-08,Deposit,11130.78,ATM
TXN046354,ACC02132,2025-02-01,Withdrawal,44461.6,ATM
TXN102994,ACC05976,2026-05-11,Deposit,31077.07,Mobile
TXN114173,ACC08769,2025-06-02,Transfer,28740.76,Branch
TXN102059,ACC03454,2026-01-03,Payment,47787.76,Online
TXN062126,ACC02636,2026-09-07,Transfer,21158.86,Online
TXN031145,ACC07730,2025-10-11,Withdrawal,39170.5,ATM
TXN081086,ACC04201,2025-07-21,Transfer,39224.98,Online
TXN066826,ACC04288,2025-11-07,Transfer,17912.84,Mobile
TXN074740,ACC05576,2025-08-17,Deposit,24191.9,ATM
TXN075793,ACC03852,2025-09-10,Deposit,15178.14,Online
TXN072852,ACC07486,2024-12-28,Payment,35328.7,ATM
TXN050857,ACC09235,2026-07-06,Withdrawal,40619.46,Branch
TXN125542,ACC04540,2024-12-14,Withdrawal,20230.2,Branch
TXN061909,ACC07056,2026-07-21,Deposit,32103.52,Mobile
TXN004885,ACC03314,2025-08-07,Payment,12334.62,Mobile
TXN137395,ACC02025,2025-04-29,Deposit,32071.99,Branch
TXN010590,ACC06925,2026-01-08,Transfer,26193.35,ATM
TXN104924,ACC10349,2026-04-08,Payment,44225.16,ATM
TXN073333,ACC10800,2025-05-16,Transfer,43377.73,Online
TXN040020,ACC06780,2025-07-12,Withdrawal,4966.18,Branch
TXN133396,ACC05849,2026-07-11,Transfer,26476.62,Branch
TXN097310,ACC08189,2025-08-02,Withdrawal,49208.09,Branch
TXN026681,ACC00248,2025-09-02,Withdrawal,28909.39,Branch
TXN079647,ACC07105,2026-03-17,Deposit,44132.3,Online
TXN085798,ACC03440,2025-03-23,Transfer,14275.7,Branch
TXN095478,ACC05602,2025-02-08,Withdrawal,14900.98,Online
TXN111572,ACC07339,2025-09-11,Deposit,17096.8,Branch
TXN139582,ACC09265,2026-09-08,Transfer,31794.36,ATM
TXN049425,ACC00418,2024-10-20,Transfer,506.33,Branch
TXN096642,ACC11935,2025-03-28,Deposit,32800.17,Branch
TXN090984,ACC10011,2025-07-11,Withdrawal,22951.92,ATM
TXN075698,ACC10712,2024-10-01,Withdrawal,21879.13,Mobile
TXN089030,ACC09618,2026-08-14,Payment,26286.17,Mobile
TXN133695,ACC04627,2025-04-29,Withdrawal,45559.4,ATM
TXN135982,ACC01127,2024-09-17,Payment,10618.37,ATM
TXN038221,ACC06891,2025-02-17,Withdrawal,11706.35,Mobile
TXN022902,ACC06302,2025-02-22,Deposit,10233.16,Branch
TXN021127,ACC05524,2026-04-18,Payment,2628.01,ATM
TXN010141,ACC99999,2024-10-18,Transfer,12510.4,ATM
TXN041282,ACC04602,2025-10-05,Transfer,10170.87,ATM
TXN127133,ACC09055,2025-04-15,Payment,36894.18,Branch
TXN098401,ACC03151,2025-08-17,Withdrawal,1811.29,Branch
TXN010984,ACC07655,2025-05-26,Payment,13343.59,Branch
TXN132902,ACC10706,2025-11-06,Deposit,27596.19,Online
TXN053070,ACC07028,2025-09-05,Payment,8357.96,ATM
TXN017068,ACC07304,2026-03-05,Withdrawal,31553.92,Mobile
TXN017228,ACC07885,2025-05-11,Withdrawal,8729.42,Online
TXN097313,ACC07995,2026-04-08,Payment,23302.28,ATM
TXN056992,ACC04487,2025-03-04,Withdrawal,47842.32,ATM
TXN080158,ACC05985,2025-01-28,Withdrawal,29387.26,ATM
TXN035168,ACC05219,2025-07-11,Transfer,5912.56,Online
TXN044174,ACC02846,2025-10-31,Withdrawal,43426.26,ATM
TXN103351,ACC03959,2024-11-19,Withdrawal,13621.53,Mobile
TXN116644,ACC02184,2025-01-01,Deposit,35674.09,Online
TXN035644,ACC03214,2025-03-14,Deposit,2029.42,Mobile
TXN019445,ACC00994,2025-09-13,Payment,14508.29,Branch
TXN024788,ACC11799,2025-12-17,Transfer,13768.16,Branch
TXN129934,ACC03905,2025-08-25,Transfer,16666.33,Online
TXN103791,ACC03295,2025-01-13,Deposit,40853.13,Mobile
TXN009653,ACC05402,2025-11-03,Transfer,27373.92,ATM
TXN098173,ACC03338,2025-10-25,Deposit,9512.9,Branch
TXN013555,ACC05940,2025-12-26,Withdrawal,1225.47,ATM
TXN077489,ACC10308,2025-12-25,Payment,34308.53,Online
TXN132183,ACC03388,2026-05-04,Transfer,42835.12,Mobile
TXN104664,ACC04053,2025-11-05,Payment,40977.59,Online
TXN011719,ACC01402,2025-09-27,Transfer,8494.96,ATM
TXN113878,ACC02622,2026-04-26,Transfer,19841.76,Mobile
TXN027868,ACC06919,2025-10-20,Deposit,8023.69,ATM
TXN104625,ACC08526,2025-06-11,Deposit,26404.45,Online
TXN033922,ACC09204,2024-12-20,Deposit,13854.05,Online
TXN049572,ACC06946,2025-12-10,Deposit,34632.29,Mobile
TXN069902,ACC08289,2026-02-19,Payment,46709.13,Mobile
TXN138758,ACC08908,2024-12-14,Payment,7908.04,Branch
TXN110141,ACC11503,2025-05-14,Transfer,28095.67,Online
TXN128675,ACC02003,2026-02-25,Payment,35839.7,Online
TXN104605,ACC02391,2024-09-14,Transfer,40506.64,Mobile
TXN011358,ACC04863,2026-08-05,Transfer,22824.19,Mobile
TXN116533,ACC10336,2025-05-14,Withdrawal,47002.01,ATM
TXN091076,ACC09164,2024-11-25,Payment,6259.38,Online
TXN111326,ACC08623,2026-03-02,Withdrawal,8428.75,Mobile
TXN031396,ACC01676,2025-09-07,Withdrawal,23873.13,Online
TXN087986,ACC08956,2026-08-27,Payment,24289.65,Branch
TXN130461,ACC02139,2024-12-04,Deposit,45855.68,ATM
TXN029341,ACC00464,2026-04-11,Transfer,13714.45,Online
TXN130321,ACC10212,2026-03-30,Payment,20554.03,ATM
TXN121525,ACC09031,2025-05-08,Payment,27693.88,Mobile
TXN083887,ACC11420,2026-01-20,Withdrawal,32287.42,ATM
TXN049138,ACC02059,2025-06-20,Transfer,14607.17,Branch
TXN072368,ACC02929,2026-07-04,Payment,36713.93,Mobile
TXN071658,ACC06044,2025-01-18,Transfer,38741.19,Online
TXN122736,ACC10048,2026-01-21,Transfer,4216.54,ATM
TXN067328,ACC08504,2026-03-20,Transfer,20639.25,Online
TXN136115,ACC11225,2024-12-30,Payment,46746.28,Branch
TXN048434,ACC11921,2025-06-08,Deposit,47285.8,ATM
TXN002893,ACC09395,2026-03-13,Payment,15549.13,Mobile
TXN028454,ACC02009,2025-07-03,Withdrawal,-578.04,ATM
TXN131260,ACC09351,2025-12-22,Transfer,-42887.66,Online
TXN028219,ACC05737,2025-07-14,Transfer,37575.23,Online
TXN027964,ACC05309,2025-05-26,Deposit,-1481.18,Mobile
TXN111200,ACC05228,2026-06-04,Payment,35338.25,Branch
TXN094955,ACC09335,2025-07-26,Payment,35779.44,Mobile
TXN137608,ACC07687,2025-06-10,Deposit,8876.06,ATM
TXN084320,ACC04502,2026-04-18,Deposit,4276.11,Branch
TXN097009,ACC11023,2025-10-12,Withdrawal,9059.39,Online
TXN132433,ACC10683,2024-10-31,Transfer,41948.25,Mobile
TXN115923,ACC11462,2025-07-23,Withdrawal,6769.0,Mobile
TXN071427,ACC04790,2026-01-15,Deposit,2792.99,Branch
TXN053245,ACC04180,2026-04-26,Deposit,375.48,Online
TXN010877,ACC06101,2026-03-09,Withdrawal,48809.89,Branch
TXN041675,ACC04359,2026-08-01,Transfer,49342.29,Mobile
TXN133528,ACC09531,2026-04-27,Transfer,20770.37,Branch
TXN101783,ACC02239,2026-05-05,Payment,15861.6,Online
TXN118467,ACC09246,2024-11-13,Withdrawal,46046.96,Branch
TXN116921,ACC04509,2026-06-28,Withdrawal,2099.28,ATM
TXN063077,ACC01646,2026-08-30,Deposit,27285.35,ATM
TXN060051,ACC04049,2026-01-05,Deposit,31773.72,Branch
TXN129690,ACC04563,2025-12-04,Transfer,24549.68,Mobile
TXN007520,ACC00824,2024-12-18,Deposit,-13427.41,Branch
TXN089489,ACC08628,2025-03-22,Deposit,32061.62,ATM
TXN015895,ACC07081,2024-09-13,Payment,27448.53,Online
TXN052983,ACC07763,2024-11-04,Deposit,46021.38,Mobile
TXN047645,ACC01025,2025-10-23,Transfer,5329.84,Mobile
TXN097068,ACC10639,2024-11-19,Withdrawal,14606.67,Branch
TXN084284,ACC11417,2026-07-30,Transfer,32859.16,Mobile
TXN120701,ACC07994,2025-12-28,Withdrawal,6202.48,Online
TXN072970,ACC00529,2026-02-03,Payment,31996.33,Mobile
TXN095448,ACC01681,2026-02-02,Transfer,11843.38,Branch
TXN021767,ACC08222,2026-06-10,Withdrawal,4811.79,Online
TXN016438,ACC07483,2025-08-20,Withdrawal,27444.74,Branch
TXN032320,ACC07393,2025-09-22,Deposit,5469.44,ATM
TXN029807,ACC08667,2025-06-13,Withdrawal,48009.56,Mobile
TXN125556,ACC08654,2026-01-11,Transfer,8157.38,ATM
TXN003958,ACC00924,2026-01-10,Withdrawal,47012.26,Mobile
TXN063751,ACC08273,2024-09-26,Transfer,22783.54,Online
TXN108079,ACC00574,2025-10-22,Withdrawal,30876.29,ATM
TXN047607,ACC09802,2026-01-15,Transfer,12744.1,ATM
TXN027196,ACC08162,2024-11-19,Transfer,17159.09,Mobile
TXN063032,ACC10024,2026-09-06,Payment,32833.83,ATM
TXN007514,ACC00765,2025-10-03,Deposit,38236.89,Online
TXN001266,ACC06690,2025-12-09,Withdrawal,22592.75,Mobile
TXN099979,ACC07765,2026-08-18,Transfer,28296.34,ATM
TXN023076,ACC11359,2025-02-05,Transfer,9860.08,Mobile
TXN028445,ACC02015,2024-11-18,Deposit,18367.87,Branch
TXN114795,ACC05534,2026-06-05,Payment,44386.22,Online
TXN029678,ACC10797,2026-04-30,Transfer,33705.5,Online
TXN096942,ACC11859,2026-03-13,Deposit,45673.33,ATM
TXN085100,ACC10502,2026-05-05,Deposit,34934.08,Online
TXN049822,ACC01582,2025-02-08,Deposit,32920.3,Online
TXN122670,ACC06018,2025-05-04,Payment,48806.34,ATM
TXN022124,ACC00776,2024-09-30,Payment,34424.53,ATM
TXN064118,ACC03768,2026-08-14,Transfer,45962.45,Branch
TXN027038,ACC05907,2026-05-07,Payment,710.53,Online
TXN048976,ACC05230,2024-12-01,Withdrawal,16755.86,Branch
TXN088122,ACC06361,2025-12-11,Withdrawal,46134.43,ATM
TXN113458,ACC10285,2024-09-26,Payment,4322.66,ATM
TXN089566,ACC00647,2024-10-28,Deposit,41722.43,Online
TXN090905,ACC02958,2025-08-01,Deposit,34851.2,Branch
TXN062700,ACC06100,2026-04-21,Deposit,15072.62,online
TXN133198,ACC09746,2025-11-10,Withdrawal,26725.58,Mobile
TXN084209,ACC08643,2025-10-22,Withdrawal,8387.09,ATM
TXN126360,ACC07521,2026-08-23,Payment,15621.94,ATM
TXN029043,ACC06014,2025-04-24,Deposit,1900.86,Online
TXN068141,ACC03607,2026-07-12,Withdrawal,26860.56,Mobile
TXN097518,ACC05759,2025-11-03,Deposit,42914.07,Branch
TXN132682,ACC04274,2024-12-18,Payment,36814.48,Branch
TXN045359,ACC01888,2026-04-16,Withdrawal,293.45,ATM
TXN110817,ACC00609,2024-11-20,Transfer,34729.85,ATM
TXN015801,ACC06469,2025-09-13,Deposit,33672.93,Mobile
TXN000547,ACC02366,2024-10-12,Transfer,10348.79,Branch
TXN084222,ACC04782,2026-08-10,Deposit,16007.48,Mobile
TXN030425,ACC05955,2026-01-17,Deposit,18428.46,Branch
TXN071589,ACC09081,2026-02-11,Deposit,22170.91,Online
TXN012220,ACC01615,2025-11-15,Withdrawal,1754.48,Mobile
TXN060690,ACC01212,2025-06-28,Deposit,19285.43,Online
TXN043844,ACC08859,2026-08-28,Payment,11314.74,Mobile
TXN030826,ACC00587,2024-12-08,Transfer,41593.15,Online
TXN053452,ACC09007,2025-06-02,Transfer,18222.92,ATM
TXN023941,ACC01381,2026-07-08,Withdrawal,19979.37,Branch
TXN076675,ACC99999,2025-01-09,Withdrawal,23768.11,Online
TXN131136,ACC00534,2025-03-04,Payment,45316.36,ATM
TXN003039,ACC11512,2025-03-17,Deposit,15982.16,Mobile
TXN068637,ACC00703,2026-09-08,Transfer,13979.39,Online
TXN134994,ACC09040,2026-03-16,Payment,466.27,Branch
TXN018219,ACC01023,2025-08-10,Deposit,5863.88,ATM
TXN044654,ACC02443,2024-11-10,Payment,23151.51,Online
TXN064860,ACC02595,2025-12-28,Payment,2977.26,Online
TXN056111,ACC00743,2026-04-29,Transfer,44036.15,Branch
TXN018382,ACC11675,2025-04-23,Withdrawal,23107.89,Branch
TXN072250,ACC00045,2026-04-20,Withdrawal,31871.59,Online
TXN057639,ACC09570,2026-05-13,Transfer,31730.91,ATM
TXN046837,ACC01354,2026-06-15,Deposit,33833.04,ATM
TXN139084,ACC06924,2025-08-29,Transfer,48968.05,Online
TXN080835,ACC02020,2025-01-14,Payment,19364.85,Online
TXN000167,ACC09952,2025-10-08,Deposit,48678.07,Online
TXN074875,ACC05557,2025-10-05,Payment,48207.75,Branch
TXN052063,ACC01787,2026-03-12,Deposit,17475.8,Branch
TXN136676,ACC11924,2025-02-06,Withdrawal,31919.93,Online
TXN020766,ACC10435,2024-11-25,Deposit,14545.02,Branch
TXN017722,ACC01390,2026-07-07,Transfer,34149.08,Online
TXN117139,ACC05842,2026-04-08,Payment,14614.25,Online
TXN051915,ACC06542,2025-10-30,Payment,19896.11,ATM
TXN121310,ACC01267,2026-01-26,Transfer,37396.0,Online
TXN001089,ACC06449,2025-08-12,Transfer,11438.24,Online
TXN128929,ACC11747,2025-04-13,Deposit,44836.95,Branch
TXN066502,ACC09621,2025-07-29,Payment,14185.68,Mobile
TXN128028,ACC10132,2025-04-09,Withdrawal,39710.91,Branch
TXN126618,ACC09303,2025-11-17,Withdrawal,23509.34,Online
TXN062563,ACC08087,2025-06-16,Withdrawal,17586.47,Branch
TXN126993,ACC05815,2025-10-30,Withdrawal,38031.36,ATM
TXN128374,ACC02285,2025-07-29,Payment,21022.83,ATM
TXN020500,ACC05081,2026-03-07,Payment,5552.32,Online
TXN087660,ACC07260,2025-04-05,Deposit,7821.17,Branch
TXN011210,ACC07077,2025-11-23,Withdrawal,37124.68,Branch
TXN029154,ACC03427,2026-04-06,Payment,11645.23,ATM
TXN039409,ACC02203,2026-05-28,Withdrawal,46304.38,Online
TXN043254,ACC07350,2026-07-18,Payment,37131.81,ATM
TXN043448,ACC03509,2025-06-02,Transfer,19075.45,Branch
TXN046122,ACC02344,2025-07-26,Deposit,35424.15,ATM
TXN080352,ACC06253,2026-06-29,Transfer,34488.06,ATM
TXN039630,ACC01327,2024-11-02,Withdrawal,29767.86,Mobile
TXN101326,ACC10974,2024-10-20,Withdrawal,9237.9,Branch
TXN116294,ACC03379,2025-04-07,Transfer,36666.35,ATM
TXN084212,ACC09193,2025-12-02,Payment,37304.81,Branch
TXN110402,ACC05310,2026-06-15,Transfer,33779.9,Online
TXN112026,ACC09905,2025-07-20,Deposit,12795.58,Branch
TXN108025,ACC11800,2026-02-06,Deposit,39291.31,Mobile
TXN108289,ACC00970,2025-05-21,Transfer,34942.1,Branch
TXN043731,ACC10274,2025-07-30,Withdrawal,20620.01,Branch
TXN093756,ACC04839,2025-09-22,Transfer,26733.25,Mobile
TXN135466,ACC99999,2025-11-24,Payment,3063.02,Branch
TXN138311,ACC05840,2026-05-21,Withdrawal,35711.62,ATM
TXN097338,ACC03613,2024-10-15,Transfer,15506.1,Branch
TXN008024,ACC09777,2025-04-17,Deposit,10672.13,Mobile
TXN086824,ACC01152,2026-06-27,Deposit,2806.32,ATM
TXN070979,ACC09029,2025-01-12,Transfer,21599.31,Mobile
TXN050125,ACC05461,2025-04-29,Transfer,33214.93,Mobile
TXN113939,ACC10279,2025-09-27,Deposit,37132.3,Branch
TXN125940,ACC10861,2026-02-18,Withdrawal,15373.75,ATM
TXN132808,ACC09015,2025-02-18,Payment,16199.08,Online
