loan_id,total_due,total_paid,avg_days_late,missed_payments,repayment_ratio
LN00049,66949.5,74215.31999999999,2.0,0,1.11
LN00050,88097.85,73085.5,18.571428571428573,4,0.83
LN00051,115618.49,102520.1,5.7272727272727275,2,0.89
LN00052,84541.01,82517.0,8.375,1,0.98
LN00053,29319.5,46187.66,13.25,1,1.58
LN00054,78597.95,100355.09,-3.375,1,1.28
LN00055,149644.81,146601.0,11.461538461538462,4,0.98
LN00056,92315.17,76435.40000000001,5.714285714285714,0,0.83
LN00057,47543.399999999994,50125.0,2.5,0,1.05
LN00058,94795.14,104322.34,12.88888888888889,3,1.1
LN00059,59117.84,85836.16,10.375,2,1.45
LN00060,42428.270000000004,53470.56,6.6,1,1.26
LN00061,75617.71,79798.99,4.444444444444445,1,1.06
LN00062,110033.69,118917.84,7.6,2,1.08
LN00063,71661.56999999999,73947.76,8.333333333333334,1,1.03
LN00064,83872.20999999999,81651.01,3.6666666666666665,1,0.97
LN00065,98116.58,90505.07,5.777777777777778,1,0.92
LN00066,66757.94,70220.68,8.0,1,1.05
LN00067,66678.86,51853.69,10.0,1,0.78
LN00068,45507.630000000005,61078.48,7.5,1,1.34
LN00069,101362.67,101704.43000000001,8.333333333333334,3,1.0
LN00070,56586.36,77349.15,14.714285714285714,3,1.37
LN00071,77503.91,89415.78,9.875,2,1.15
LN00072,145351.43,114438.07,4.3,1,0.79
LN00073,137728.18,78721.09,10.3,3,0.57
LN00074,128763.09,93934.42,3.6,1,0.73
LN00075,171448.47,215251.22999999998,10.352941176470589,5,1.26
LN00076,82657.45999999999,72238.74,5.0,1,0.87
LN00077,132629.98,95039.67,4.416666666666667,1,0.72
LN00078,34565.08,51977.74,5.75,0,1.5
LN00079,83769.44,74813.87,3.3333333333333335,0,0.89
LN00080,28451.04,78116.2,2.6,0,2.75
LN00081,67551.28,53422.259999999995,8.0,1,0.79
LN00082,110423.98,101893.78,12.3,3,0.92
LN00083,129956.41,121362.08,6.333333333333333,1,0.93
LN00084,84026.45000000001,80239.74,10.333333333333334,3,0.95
LN00085,103603.41,68104.33,9.125,2,0.66
LN00086,101457.34999999999,95128.16,6.222222222222222,1,0.94
LN00087,85163.09999999999,74888.58,6.0,1,0.88
LN00088,52906.4,64263.83,8.833333333333334,1,1.21
LN00089,68456.61,91480.32,4.777777777777778,3,1.34
LN00090,141090.72,143167.41999999998,8.692307692307692,3,1.01
LN00091,69263.15,76637.56,11.666666666666666,2,1.11
LN00092,68028.16,73133.43,7.166666666666667,1,1.08
LN00093,102770.61,98282.19,9.88888888888889,2,0.96
LN00094,54083.3,73175.13,3.8333333333333335,0,1.35
LN00095,75290.34,58415.52,13.285714285714286,2,0.78
LN00096,107604.94,106016.09999999999,5.555555555555555,1,0.99
LN00097,79556.40000000001,91107.27,5.888888888888889,1,1.15
LN00098,27827.23,10839.17,5.0,0,0.39
LN00099,79535.9,55655.89,3.7142857142857144,0,0.7
LN00100,131877.34,121283.38,7.75,2,0.92
LN00101,79503.55,62010.15,10.0,2,0.78
LN00102,54155.01,88326.43000000001,7.571428571428571,1,1.63
LN00103,126943.45,98261.23000000001,6.083333333333333,2,0.77
LN00104,68767.14,112244.36,0.75,0,1.63
LN00105,46293.53,45280.06,10.75,1,0.98
LN00106,64500.8,64346.79,8.6,1,1.0
LN00107,129090.19,146847.51,0.8333333333333334,0,1.14
LN00108,48411.2,56934.28,9.333333333333334,1,1.18
LN00109,46901.41,51209.85,22.5,3,1.09
LN00110,58055.35,91657.02,11.666666666666666,2,1.58
LN00111,73664.11,53453.67999999999,6.0,1,0.73
LN00112,87399.41,74303.36,3.8333333333333335,0,0.85
LN00113,55931.490000000005,65781.33,6.625,1,1.18
LN00114,64521.34,57424.170000000006,5.0,0,0.89
LN00115,76894.17,83781.21,1.125,0,1.09
LN00116,54141.72,51130.119999999995,18.25,2,0.94
LN00117,75474.34,65895.77,10.0,2,0.87
LN00118,86731.15,79465.87000000001,6.555555555555555,1,0.92
LN00119,38499.6,45101.43,12.6,2,1.17
LN00120,70269.61,74662.54,9.428571428571429,2,1.06
LN00121,44343.38,47494.58,5.0,0,1.07
LN00122,42117.729999999996,67586.39,2.1666666666666665,0,1.6
LN00123,84995.35,66439.21,5.0,1,0.78
LN00124,12196.84,26171.0,6.5,0,2.15
LN00125,56592.77,77153.16,9.0,1,1.36
LN00126,164885.31,152233.79,7.142857142857143,3,0.92
LN00127,79768.59,42327.770000000004,12.166666666666666,2,0.53
LN00128,75459.19,82769.96,9.125,2,1.1
LN00129,60008.97,48454.4,3.3333333333333335,0,0.81
LN00130,43520.35,55790.11,2.6,0,1.28
LN00131,80994.17,76628.69,7.571428571428571,1,0.95
LN00132,44921.7,55219.51,10.0,1,1.23
LN00133,85084.54000000001,47897.13,17.571428571428573,4,0.56
LN00134,66371.74,63919.84,6.666666666666667,1,0.96
LN00135,48043.64,66570.58,12.0,2,1.39
LN00136,42749.520000000004,49417.67,10.0,1,1.16
LN00137,98898.34,105571.41,6.666666666666667,1,1.07
LN00138,132364.78,63836.060000000005,6.0,2,0.48
LN00139,35678.48,76771.25,9.333333333333334,1,2.15
LN00140,86269.94,120797.1,9.555555555555555,2,1.4
LN00141,91297.6,83565.48999999999,13.75,3,0.92
LN00142,92794.28,57474.97,5.375,1,0.62
LN00143,81668.99,98779.33,9.0,2,1.21
LN00144,88074.07,102993.95,11.916666666666666,4,1.17
LN00145,27474.11,53945.08,9.2,1,1.96
LN00146,43175.29,45899.600000000006,14.0,2,1.06
LN00147,62119.47,60804.5,8.6,1,0.98
LN00148,38563.869999999995,20911.99,0.75,0,0.54
LN00149,90345.56,66381.14,5.142857142857143,0,0.73
LN00150,51076.07,27167.85,10.0,1,0.53
LN00151,68021.26,60076.76,10.5,2,0.88
LN00152,85163.95999999999,73835.94,6.571428571428571,1,0.87
LN00153,51623.69,47196.51,4.6,0,0.91
LN00154,81880.47,57898.08,6.222222222222222,1,0.71
LN00155,67201.28,55029.44,6.666666666666667,1,0.82
LN00156,82872.15,77202.7,5.5,1,0.93
LN00157,122313.23000000001,141375.06,4.545454545454546,1,1.16
LN00158,90574.23,111338.66,10.0,3,1.23
LN00159,48885.44,34906.34,12.0,1,0.71
LN00160,106702.21,83912.3,0.0,0,0.79
LN00161,32606.199999999997,44669.11,8.25,1,1.37
LN00162,48819.08,45585.01,6.6,1,0.93
LN00163,67429.01,76182.55,9.5,2,1.13
LN00164,51276.83,72411.22,13.333333333333334,2,1.41
LN00165,60196.85,38238.93,3.25,0,0.64
LN00166,38875.69,26615.56,7.2,1,0.68
LN00167,65908.07,80408.08,7.142857142857143,1,1.22
LN00168,166080.86,122438.27,8.615384615384615,3,0.74
LN00169,58277.61,70141.41,10.428571428571429,2,1.2
LN00170,24327.969999999998,21943.39,16.5,1,0.9
LN00171,88274.59,73661.35,10.428571428571429,2,0.83
LN00172,47518.15,71284.41,1.5,0,1.5
LN00173,146220.04,184727.83,3.533333333333333,1,1.26
LN00174,121584.16,123079.99,7.75,2,1.01
LN00175,87231.79,103200.3,6.0,1,1.18
LN00176,144816.58000000002,138813.08,7.166666666666667,2,0.96
LN00177,109041.58,61963.369999999995,8.571428571428571,1,0.57
LN00178,35442.03,58550.15,0.75,0,1.65
LN00179,91496.92,65119.79000000001,2.875,0,0.71
LN00180,25559.28,36772.42,2.5,0,1.44
LN00181,96686.47,76295.13,6.555555555555555,1,0.79
LN00182,53171.0,24927.32,3.3333333333333335,0,0.47
LN00183,16369.97,26830.12,10.0,1,1.64
LN00184,81385.76000000001,70001.73,14.0,3,0.86
LN00185,49744.19,64568.83,8.6,1,1.3
LN00186,28685.65,25940.9,13.333333333333334,1,0.9
LN00187,36800.68,73600.15,3.2,0,2.0
LN00188,25539.34,32332.94,4.333333333333333,0,1.27
LN00189,42222.86,92493.33,10.428571428571429,2,2.19
LN00190,78670.26000000001,61049.909999999996,8.833333333333334,1,0.78
LN00191,29839.82,62117.54,6.6,1,2.08
LN00192,93535.12,136257.02,1.4545454545454546,0,1.46
LN00193,134680.51,77942.4,5.0,1,0.58
LN00194,126407.08,140017.22,6.333333333333333,1,1.11
LN00195,92967.43000000001,49807.18,10.875,3,0.54
LN00196,72158.76,62275.95,10.6,1,0.86
LN00197,71678.82,54157.08,5.5,1,0.76
LN00198,59547.57,60755.44,9.2,1,1.02
LN00199,85659.92,84580.83,6.142857142857143,1,0.99
LN00200,109119.39,75130.09,9.0,1,0.69
LN00201,71637.12,73572.87999999999,10.428571428571429,2,1.03
LN00202,107898.0,83805.20999999999,5.888888888888889,1,0.78
LN00203,73429.67,81244.29,6.142857142857143,1,1.11
LN00204,133872.27,105123.31,3.9,1,0.79
LN00205,133739.9,112464.93000000001,13.2,4,0.84
LN00206,111255.45,117099.15000000001,5.444444444444445,1,1.05
LN00207,20050.57,52915.14,5.0,0,2.64
LN00208,88051.38,107219.23,7.0,1,1.22
LN00209,86352.78,73879.35,3.2,0,0.86
LN00210,80187.8,62649.08,6.555555555555555,0,0.78
LN00211,85070.09999999999,66597.38,3.7142857142857144,0,0.78
LN00212,119027.36,86106.5,3.9,1,0.72
LN00213,104821.59,90584.28,8.75,2,0.86
LN00214,11553.130000000001,18703.28,16.5,1,1.62
LN00215,50739.600000000006,45365.509999999995,7.5,1,0.89
LN00216,87535.32,61893.82,15.0,3,0.71
LN00217,27606.77,37517.5,9.2,1,1.36
LN00218,125640.95,123414.64,6.153846153846154,4,0.98
LN00219,98566.91,97734.44,4.125,0,0.99
LN00220,19978.24,5595.89,30.0,1,0.28
LN00221,114031.0,102998.02,7.333333333333333,1,0.9
LN00222,45547.16,62268.020000000004,8.0,1,1.37
LN00223,93707.54,80913.91,3.6666666666666665,1,0.86
LN00224,57017.53,64440.0,2.1666666666666665,0,1.13
LN00225,90510.35,68831.47,7.142857142857143,1,0.76
LN00226,32259.83,56369.850000000006,15.0,2,1.75
LN00227,118032.56,143631.78,3.25,1,1.22
LN00228,131592.65,129613.15000000001,4.857142857142857,1,0.98
LN00229,38822.18,53866.6,1.5,0,1.39
LN00230,151189.83000000002,142038.28,5.75,2,0.94
LN00231,72787.09,93344.47,2.6666666666666665,0,1.28
LN00232,45886.04,29194.54,0.75,0,0.64
LN00233,84597.93,84296.36,7.166666666666667,1,1.0
LN00234,109063.83,89895.65,4.0,0,0.82
LN00235,53449.31999999999,23617.690000000002,11.2,1,0.44
LN00236,66043.39,87218.68,4.0,0,1.32
LN00237,52290.079999999994,79056.1,6.666666666666667,1,1.51
LN00238,63045.86,52210.94,6.0,1,0.83
LN00239,86040.84,83964.55,3.6,1,0.98
LN00240,70267.08,86182.6,8.444444444444445,2,1.23
LN00241,122344.29,66556.95,5.111111111111111,1,0.54
LN00242,108475.41,78773.51000000001,5.0,1,0.73
LN00243,48121.94,41986.01,10.0,1,0.87
LN00244,74734.93,82512.13,10.75,2,1.1
LN00245,59280.81,57954.88,3.8333333333333335,0,0.98
LN00246,56550.42,51024.47,2.1666666666666665,0,0.9
LN00247,72239.73,141607.35,3.6363636363636362,1,1.96
LN00248,119195.31000000001,113015.93,6.3,2,0.95
LN00249,66221.56,42886.82,10.6,1,0.65
LN00250,61780.869999999995,71340.77,10.0,3,1.15
LN00251,43660.729999999996,54583.44,1.2,0,1.25
LN00252,54830.5,78381.32,3.7142857142857144,0,1.43
LN00253,80348.17,112070.23000000001,8.88888888888889,2,1.39
LN00254,52099.91,53107.25,0.0,0,1.02
LN00255,69480.41,74293.1,4.285714285714286,1,1.07
LN00256,125217.09999999999,87600.12,7.333333333333333,2,0.7
LN00257,27057.46,30271.63,0.0,0,1.12
LN00258,49455.729999999996,82704.21,1.4285714285714286,0,1.67
LN00259,65606.13,36973.79,9.2,1,0.56
LN00260,62835.810000000005,54656.64,15.714285714285714,3,0.87
LN00261,77215.02,80528.05,9.5,2,1.04
LN00262,72435.25,139081.28,1.3,0,1.92
LN00263,87583.76999999999,65326.490000000005,3.3333333333333335,0,0.75
LN00264,83641.04,84457.16,0.75,0,1.01
LN00265,113950.7,104174.47,10.0,2,0.91
LN00266,124769.48000000001,123085.77,4.416666666666667,1,0.99
LN00267,22236.309999999998,24533.89,20.0,1,1.1
LN00268,75526.42,98215.02,10.0,3,1.3
LN00269,74690.35,54453.240000000005,10.0,2,0.73
LN00270,36804.630000000005,40164.31,5.0,0,1.09
LN00271,30509.059999999998,15752.78,4.333333333333333,0,0.52
LN00272,78765.13,76979.07,5.888888888888889,1,0.98
LN00273,75603.63,85034.07,4.285714285714286,0,1.12
LN00274,121605.19,115599.79000000001,12.5,4,0.95
LN00275,133078.31,125822.08,2.0,2,0.95
LN00276,79498.94,101303.13,5.6,1,1.27
LN00277,104386.37,106788.72,6.3,1,1.02
LN00278,94338.83,114905.08,7.333333333333333,2,1.22
LN00279,89395.37,80177.16,6.625,1,0.9
LN00280,69561.25,104369.88,7.875,1,1.5
LN00281,69134.64,90896.28,10.666666666666666,2,1.31
LN00282,25404.87,20530.58,1.5,0,0.81
LN00283,33375.98,32372.16,13.333333333333334,1,0.97
LN00284,14533.34,20899.66,13.333333333333334,1,1.44
LN00285,153423.78,101801.34,1.3,0,0.66
LN00286,87273.04,88772.22,2.9,0,1.02
LN00287,97264.42,98131.65,0.9,0,1.01
LN00288,83247.7,111821.6,7.0,1,1.34
LN00289,63466.86,44398.83,12.6,2,0.7
LN00290,118789.13,85078.88,2.2222222222222223,0,0.72
LN00291,82731.61,104241.93,2.5,0,1.26
LN00292,96712.63,116734.7,4.3,0,1.21
LN00293,61001.479999999996,27441.120000000003,9.2,1,0.45
LN00294,106639.45,89870.43,4.444444444444445,1,0.84
LN00295,97576.67,102269.22,6.6,1,1.05
LN00296,108899.40999999999,72443.91,7.875,2,0.67
LN00297,103932.23999999999,74208.9,6.25,1,0.71
LN00298,68594.27,35129.13,6.6,1,0.51
LN00299,138301.26,165498.97999999998,3.1666666666666665,0,1.2
LN00300,47919.54,36285.81,12.0,2,0.76
LN00301,56796.7,53447.63,6.6,1,0.94
LN00302,37338.28999999999,62444.159999999996,20.0,3,1.67
LN00303,103234.81,88181.35,0.3333333333333333,0,0.85
LN00304,93026.66,54963.979999999996,10.857142857142858,2,0.59
LN00305,129686.7,91144.4,5.363636363636363,1,0.7
LN00306,20793.35,17985.739999999998,5.0,0,0.86
LN00307,72861.76000000001,101615.71,14.285714285714286,3,1.39
LN00308,69637.08,88631.47,11.857142857142858,2,1.27
LN00309,14230.35,18291.88,0.0,0,1.29
LN00310,172366.41999999998,141553.55,6.133333333333334,1,0.82
LN00311,70152.31,101780.51000000001,5.25,1,1.45
LN00312,67578.16,112312.74,11.777777777777779,3,1.66
LN00313,44654.5,45404.22,10.75,1,1.02
LN00314,36635.7,16085.810000000001,1.0,0,0.44
LN00315,36534.3,23968.72,1.0,0,0.66
LN00316,83817.87,99654.63,3.625,0,1.19
LN00317,58026.96000000001,74544.54,5.375,1,1.28
LN00318,70696.91,64388.05,9.0,1,0.91
LN00319,79653.04,74238.67,6.625,1,0.93
LN00320,99718.5,96700.96,1.6,0,0.97
LN00321,86569.28,73970.88,4.444444444444445,1,0.85
LN00322,67182.89,61429.55,13.333333333333334,2,0.91
LN00323,68675.4,72144.11,6.5,1,1.05
LN00324,48298.81,51953.19,2.5,0,1.08
LN00325,55374.22,74877.89,3.8333333333333335,0,1.35
LN00326,149632.3,98457.48,3.25,1,0.66
LN00327,78681.51,90895.37,10.25,2,1.16
LN00328,73332.58,71300.66,6.571428571428571,1,0.97
LN00329,41142.270000000004,50343.76,8.25,1,1.22
LN00330,70493.75,78358.86,12.875,2,1.11
LN00331,60098.86,37691.729999999996,0.5,0,0.63
LN00332,102093.47,81430.47,12.88888888888889,3,0.8
LN00333,37047.42,29638.61,7.5,1,0.8
LN00334,108763.76,92158.8,11.454545454545455,4,0.85
LN00335,93188.47,75889.25,3.2857142857142856,0,0.81
LN00336,101021.25,99210.02,1.7777777777777777,0,0.98
LN00337,137031.04,161170.2,3.5384615384615383,1,1.18
LN00338,65126.44,34236.9,8.0,1,0.53
LN00339,81462.8,82688.04000000001,1.4285714285714286,0,1.02
LN00340,8124.44,22580.09,15.0,1,2.78
LN00341,42569.74,33836.54,3.25,0,0.79
LN00342,44597.54,45707.3,0.75,0,1.02
LN00343,85414.07,118319.70999999999,4.875,1,1.39
LN00344,61262.14,81136.12,4.0,0,1.32
LN00345,61890.29,56271.369999999995,8.25,1,0.91
LN00346,72295.97,74986.41,10.0,1,1.04
LN00347,91788.08,102515.9,4.3,1,1.12
LN00348,40428.6,61084.96,12.0,2,1.51
LN00349,56806.61,52891.47,6.0,0,0.93
LN00350,92686.58,87848.83,3.6,1,0.95
LN00351,32619.27,58262.79,10.75,1,1.79
LN00352,46443.119999999995,50899.130000000005,8.25,1,1.1
LN00353,31344.59,49192.57,5.5,1,1.57
LN00354,134996.75,117726.77,10.3,3,0.87
LN00355,89042.84999999999,75460.45,3.3333333333333335,0,0.85
LN00356,117262.25,118363.98,9.6,2,1.01
LN00357,58388.85,81491.97,6.0,1,1.4
LN00358,51375.84,55541.39,4.0,0,1.08
LN00359,48360.54,83685.68,5.0,1,1.73
LN00360,40823.87,27984.089999999997,0.0,0,0.69
LN00361,124947.03,115890.07,7.6,2,0.93
LN00362,61367.97,60561.770000000004,6.5,1,0.99
LN00363,104872.49,91623.08,7.777777777777778,2,0.87
LN00364,62381.21,69684.94,9.428571428571429,2,1.12
LN00365,144984.28,128591.72,7.357142857142857,2,0.89
LN00366,102830.44,77188.28,14.125,3,0.75
LN00367,105339.38,67761.28,9.125,2,0.64
LN00368,60308.049999999996,118148.1,4.875,1,1.96
LN00369,67674.84,71876.72,10.5,2,1.06
LN00370,80770.82,67175.76999999999,12.5,2,0.83
LN00371,84452.37,63519.94,7.0,1,0.75
LN00372,56927.32,72543.47,6.142857142857143,1,1.27
LN00373,68573.71,51622.14,10.5,1,0.75
LN00374,59272.54,70397.78,8.0,1,1.19
LN00375,45629.68,52523.72,8.25,1,1.15
LN00376,123556.27,108394.72,9.88888888888889,2,0.88
LN00377,121064.22,102907.78,9.3,3,0.85
LN00378,97453.7,66591.73,7.0,0,0.68
LN00379,23284.28,17599.78,0.0,0,0.76
LN00380,68659.79000000001,24057.7,6.6,1,0.35
LN00381,110419.97,99540.35,11.777777777777779,3,0.9
LN00382,92645.95,93409.01000000001,8.25,2,1.01
LN00383,92133.75,103434.13,9.555555555555555,2,1.12
LN00384,59542.92,52451.59,12.166666666666666,2,0.88
LN00385,117241.70999999999,109482.09,7.2727272727272725,2,0.93
LN00386,66872.45,120689.12,11.11111111111111,3,1.8
LN00387,90151.59,94724.49,4.125,1,1.05
LN00388,63767.79,54083.67,7.166666666666667,1,0.85
LN00389,75516.61,48781.61,8.833333333333334,1,0.65
LN00390,45981.3,51549.399999999994,21.0,4,1.12
LN00391,122386.36,77230.98,4.3,1,0.63
LN00392,123259.42,77187.71,15.375,4,0.63
LN00393,47531.82,21421.81,2.5,0,0.45
LN00394,92693.84,89610.37,6.142857142857143,1,0.97
LN00395,82832.58,59162.62,9.0,2,0.71
LN00396,74086.58,90795.53,5.142857142857143,1,1.23
LN00397,103816.57,106843.62,5.454545454545454,1,1.03
LN00398,58800.32000000001,75781.56,8.0,1,1.29
LN00399,126031.76000000001,117391.23,2.0,0,0.93
LN00400,84362.66,68330.03,4.125,0,0.81
LN00401,60765.42,60223.36,8.833333333333334,1,0.99
LN00402,106069.0,90488.96,5.0,1,0.85
LN00403,64776.99,43259.66,2.0,0,0.67
LN00404,65527.39,73025.7,5.5,1,1.11
LN00405,60372.729999999996,96566.29000000001,3.2857142857142856,2,1.6
LN00406,53561.28,56978.66,2.6,0,1.06
LN00407,85824.78,88181.75,15.375,4,1.03
LN00408,67100.72,89442.55,11.666666666666666,1,1.33
LN00409,44865.76,52961.96,2.0,0,1.18
LN00410,42948.21,52577.65,9.0,1,1.22
LN00411,65706.06,59928.40000000001,3.2857142857142856,0,0.91
LN00412,120728.43000000001,102913.19,9.3,3,0.85
LN00413,98729.94,74226.46,10.0,2,0.75
LN00414,129086.6,94577.85,3.0,0,0.73
LN00415,86281.84,61980.54,5.75,1,0.72
LN00416,96504.20000000001,123772.47,4.125,1,1.28
LN00417,78993.04000000001,79508.39,3.5555555555555554,0,1.01
LN00418,21961.36,30981.98,23.333333333333332,2,1.41
LN00419,106640.97,124687.9,0.6,0,1.17
LN00420,66894.54,67293.18,16.666666666666668,3,1.01
LN00421,45865.31,57530.5,1.0,0,1.25
LN00422,84133.19,70052.11,6.142857142857143,1,0.83
LN00423,104303.86,133968.51,2.5,0,1.28
LN00424,101939.97,83345.07,8.3,2,0.82
LN00425,55587.86,81682.41,6.571428571428571,1,1.47
LN00426,66476.92,59690.979999999996,3.3333333333333335,0,0.9
LN00427,87375.53,80568.81,6.571428571428571,1,0.92
LN00428,83236.14,54640.03,7.875,1,0.66
LN00429,166822.43,139410.63999999998,6.4,2,0.84
LN00430,92851.9,75486.39,4.333333333333333,1,0.81
LN00431,89073.64,109413.98999999999,3.625,0,1.23
LN00432,74194.45999999999,86048.19,2.857142857142857,0,1.16
LN00433,127220.52,78586.66,11.11111111111111,2,0.62
LN00434,71384.48,60756.99,8.0,1,0.85
LN00435,92704.03,86842.45,1.3333333333333333,0,0.94
LN00436,86448.81,96769.8,6.9,1,1.12
LN00437,85945.58,67521.4,7.166666666666667,1,0.79
LN00438,70665.78,65754.13,6.142857142857143,1,0.93
LN00439,138943.62,130381.93000000001,6.909090909090909,1,0.94
LN00440,72919.26,71767.33,15.0,2,0.98
LN00441,104123.16,92931.31999999999,9.909090909090908,3,0.89
LN00442,77824.46,92583.04000000001,1.125,0,1.19
LN00443,37070.37,60770.840000000004,7.666666666666667,1,1.64
LN00444,40196.15,18138.78,0.0,0,0.45
LN00445,24944.97,35473.03,11.0,1,1.42
LN00446,30586.03,33383.58,13.333333333333334,1,1.09
LN00447,49799.46,49044.520000000004,0.75,0,0.98
LN00448,99974.81,67445.39,8.333333333333334,2,0.67
LN00449,114965.59999999999,98946.35,9.5,2,0.86
LN00450,125592.06,133106.73,9.11111111111111,2,1.06
LN00451,67029.18,98468.65,18.571428571428573,4,1.47
LN00452,69942.32,85191.34,6.571428571428571,1,1.22
LN00453,97442.91,124684.76,7.545454545454546,2,1.28
LN00454,83818.28,43772.68,6.666666666666667,1,0.52
LN00455,112428.11,118626.95,12.090909090909092,4,1.06
LN00456,51288.42,41988.5,14.6,2,0.82
LN00457,74904.18,78936.64,17.875,4,1.05
LN00458,36044.770000000004,48627.0,5.5,1,1.35
LN00459,89793.91,76263.20000000001,10.333333333333334,3,0.85
LN00460,119012.28,170203.97,5.0,2,1.43
LN00461,80574.1,91307.89,1.8571428571428572,0,1.13
LN00462,74000.26,71501.37,8.833333333333334,1,0.97
LN00463,79316.66,70055.32,1.4285714285714286,0,0.88
LN00464,78201.86,101518.79000000001,0.9,0,1.3
LN00465,83154.91,51135.12,4.714285714285714,1,0.61
LN00466,42657.14,34164.5,2.5,0,0.8
LN00467,88989.56,98522.21,5.111111111111111,1,1.11
LN00468,41042.65,39344.08,10.75,1,0.96
LN00469,82521.06,92734.76000000001,6.625,1,1.12
LN00470,109329.54000000001,149872.9,6.916666666666667,2,1.37
LN00471,87691.9,83968.28,6.125,1,0.96
LN00472,91310.38,80256.11,15.714285714285714,3,0.88
LN00473,56495.549999999996,57555.979999999996,15.0,3,1.02
LN00474,66693.81999999999,86892.79,9.222222222222221,2,1.3
LN00475,102289.97,108011.28,2.9,0,1.06
LN00476,88699.62,83996.48000000001,1.2857142857142858,0,0.95
LN00477,58589.97,32946.61,1.0,0,0.56
LN00478,74147.6,70514.75,1.4285714285714286,0,0.95
LN00479,99652.22,97133.39,4.083333333333333,1,0.97
LN00480,58802.58,65316.8,2.875,0,1.11
LN00481,18358.39,12207.600000000002,1.5,0,0.66
LN00482,56584.490000000005,21144.82,8.25,1,0.37
LN00483,75636.95,61063.51,5.5,1,0.81
LN00484,13210.45,46517.6,11.0,1,3.52
LN00485,55850.840000000004,53659.99,8.6,1,0.96
LN00486,87841.28,104125.85,7.333333333333333,1,1.19
LN00487,84346.47,77040.4,11.25,3,0.91
LN00488,22077.94,24026.920000000002,2.0,0,1.09
LN00489,66666.68,52535.41,12.0,3,0.79
LN00490,66076.98,32236.35,0.0,0,0.49
LN00491,58794.46,61205.0,6.666666666666667,1,1.04
LN00492,60353.78,78792.04000000001,10.428571428571429,2,1.31
LN00493,111549.25,98806.1,6.6,1,0.89
LN00494,49329.520000000004,52646.86,12.666666666666666,2,1.07
LN00495,103137.48999999999,92560.86,10.75,2,0.9
LN00496,67207.03,92136.48,7.666666666666667,2,1.37
LN00497,46168.0,51055.56,8.6,1,1.11
LN00498,55028.79,54355.7,7.166666666666667,1,0.99
LN00499,50607.14,72103.08,1.0,0,1.42
LN00500,29241.879999999997,27291.089999999997,3.25,0,0.93
LN00501,82457.41,105617.39,4.444444444444445,1,1.28
LN00502,71603.81,63971.48,8.333333333333334,1,0.89
