loan_id,customer_id,branch_id,loan_type,application_date,loan_amount,interest_rate,tenure_months,credit_score,loan_status,default_flag
LN00476,CUST00417,BR039,Home,2024-11-03,333105.55,6.19,60,506,Rejected,0
LN03675,CUST04821,BR035,Personal,2025-02-27,316493.45,11.2,36,445,Closed,0
LN03587,CUST02120,BR001,Education,2025-01-02,454995.43,10.9,12,700,Defaulted,1
LN03635,CUST08850,BR007,Home,2026-08-03,402077.54,12.13,24,351,Closed,0
LN03431,CUST03326,BR010,Vehicle,2026-05-13,241165.9,12.91,12,485,Active,0
LN04671,CUST04670,BR038,Home,2024-11-20,136723.2,7.38,12,808,Defaulted,1
LN05653,CUST04267,BR013,Home,2025-12-13,262710.69,8.25,24,456,Rejected,0
LN01924,CUST01316,BR045,Home,2024-12-29,280940.97,11.04,36,401,Closed,0
LN03922,CUST07751,BR024,Personal,2026-04-23,338655.61,16.16,36,533,Active,0
LN01948,CUST09160,BR032,Home,2025-07-31,24592.59,17.74,60,751,Defaulted,1
LN04943,CUST02537,BR031,Vehicle,2025-11-06,266716.72,6.46,12,838,Defaulted,1
LN01079,CUST02079,BR036,Home,2025-10-18,379716.42,9.93,36,470,Rejected,0
LN03792,CUST03901,BR029,Home,2025-03-02,378944.81,10.33,24,655,Closed,0
LN04136,CUST00919,BR019,Home,2025-03-04,17868.82,12.18,12,359,Closed,0
LN01685,CUST04732,BR014,Home,2024-11-29,466632.32,16.75,60,746,Defaulted,1
LN04997,CUST05573,BR033,Education,2025-05-06,294762.48,10.28,60,489,Approved,0
LN00674,CUST08702,BR011,Education,2024-12-01,303596.06,17.49,60,630,Rejected,0
LN00374,CUST02491,BR036,Personal,2024-10-17,160589.34,14.71,120,392,Active,0
LN04956,CUST01015,BR030,Education,2024-10-08,257430.85,12.21,24,503,Rejected,0
LN03892,CUST01700,BR009,Education,2025-07-26,52389.54,11.79,60,461,Rejected,0
LN03955,CUST03645,BR046,Home,2025-07-25,399367.13,12.88,24,505,Closed,0
LN00137,CUST01678,BR009,Personal,2026-08-18,350194.63,13.69,120,479,Approved,0
LN05782,CUST02809,BR023,Education,2025-10-14,339168.64,8.77,120,832,Active,0
LN01091,CUST05232,BR043,Personal,2026-03-29,69821.86,6.93,12,490,Closed,0
LN00908,CUST00235,BR032,Vehicle,2025-11-29,330103.07,8.65,120,370,Approved,0
LN01382,CUST00726,BR043,Education,2025-01-26,347687.04,11.34,60,883,Closed,0
LN04312,CUST04920,BR023,Home,2024-12-25,25385.82,12.18,36,733,Approved,0
LN05360,CUST00813,BR013,Home,2025-04-09,426858.04,7.18,12,594,Rejected,0
LN02400,CUST05624,BR019,Education,2026-05-14,116211.28,14.08,36,617,Approved,0
LN01497,CUST08954,BR038,Home,2026-05-14,330867.37,7.83,36,457,Closed,0
LN01369,CUST05429,BR003,Home,2026-06-08,46722.57,16.78,60,817,Defaulted,1
LN03867,CUST03606,BR035,Home,2026-05-03,254307.28,14.04,36,736,Active,0
LN00693,CUST07939,BR020,Vehicle,2024-09-09,215630.82,6.67,12,829,Rejected,0
LN04414,CUST08102,BR010,Home,2025-08-14,406839.44,7.94,60,862,Active,0
LN02740,CUST07368,BR006,Personal,2026-01-23,429726.38,17.88,36,473,Closed,0
LN01792,CUST09710,BR038,Home,2026-05-15,235124.99,11.07,36,514,Active,0
LN04007,CUST08397,BR031,Home,2026-01-02,219891.64,16.14,12,743,Defaulted,1
LN00772,CUST04777,BR030,Vehicle,2026-01-01,186457.68,13.24,60,443,Active,0
LN04333,CUST07124,BR034,Personal,2026-07-15,382340.56,16.96,12,878,Approved,0
LN04486,CUST09221,BR006,Vehicle,2026-07-10,87685.35,8.06,36,826,Active,0
LN05540,CUST05033,BR000,Personal,2026-05-12,458444.92,14.58,60,856,Defaulted,1
LN05437,CUST03296,BR000,Education,2026-04-03,119862.81,12.22,24,516,Closed,0
LN04165,CUST04996,BR042,Vehicle,2025-06-15,177358.58,14.48,36,566,Active,0
LN05575,CUST01129,BR025,Home,2024-12-26,57989.8,13.33,36,324,Closed,0
LN00577,CUST01810,BR033,Education,2024-10-10,164589.71,16.69,120,418,Closed,0
LN00535,CUST01062,BR008,Home,2025-10-05,201930.44,9.79,24,882,Defaulted,1
LN03538,CUST06028,BR006,Home,2026-09-08,269303.15,6.94,120,396,Active,0
LN05379,CUST00494,BR022,Education,2025-04-13,445646.71,9.38,12,780,Active,0
LN02508,CUST03750,BR045,Home,2025-08-19,213267.03,6.6,120,667,Closed,0
LN03392,CUST07866,BR037,Vehicle,2025-07-21,425888.71,9.6,120,621,Rejected,0
LN00397,CUST05177,BR025,Home,2025-04-01,206107.36,11.71,24,399,Active,0
LN02377,CUST08623,BR039,Home,2025-10-04,45855.8,14.76,12,575,Approved,0
LN05391,CUST04658,BR004,Vehicle,2025-11-04,152825.53,7.91,12,484,Approved,0
LN00473,CUST08967,BR025,Home,2026-08-30,96832.6,6.43,120,468,Active,0
LN04747,CUST03177,BR002,Vehicle,2025-04-16,298165.47,6.48,24,419,Approved,0
LN05092,CUST01499,BR005,Education,2025-01-25,464263.87,6.96,12,396,Approved,0
LN01862,CUST08234,BR037,Home,2025-12-30,495838.77,9.35,24,326,Approved,0
LN03824,CUST03258,BR002,Education,2025-04-04,162593.72,7.09,60,469,Closed,0
LN00862,CUST00005,BR035,Vehicle,2026-04-25,113649.03,11.54,120,815,Active,0
LN00968,CUST00950,BR042,Personal,2025-05-19,322962.56,8.84,36,842,Approved,0
LN03611,CUST04946,BR027,Education,2024-10-22,60736.35,14.7,12,555,Rejected,0
LN04534,CUST01186,BR039,Personal,2025-10-30,42920.75,12.87,36,688,Defaulted,1
LN05649,CUST02330,BR032,Education,2025-11-06,266364.2,12.76,12,788,Rejected,0
LN02475,CUST02361,BR018,Personal,2026-04-29,347544.58,12.18,60,724,Rejected,0
LN04060,CUST05944,BR007,Vehicle,2026-08-09,382258.71,6.16,120,358,Closed,0
LN01798,CUST03719,BR003,Vehicle,2025-08-27,117863.42,12.46,60,560,Approved,0
LN02097,CUST06610,BR035,Vehicle,2025-03-02,237623.85,12.47,36,844,Approved,0
LN01719,CUST00629,BR037,Personal,2025-06-08,161126.33,15.62,12,741,Closed,0
LN03914,CUST09928,BR047,Personal,2026-06-17,330432.4,6.47,120,502,Closed,0
LN02073,CUST08429,BR035,Home,2026-03-22,473965.02,13.76,120,649,Defaulted,1
LN04084,CUST07957,BR006,Personal,2025-12-07,31704.76,9.69,60,367,Closed,0
LN05157,CUST07008,BR000,Personal,2025-11-06,200334.1,9.94,120,623,Rejected,0
LN01575,CUST08465,BR036,Home,2024-11-05,179149.98,12.5,24,509,Closed,0
LN04637,CUST00165,BR033,Personal,2026-02-25,225204.16,16.19,60,541,Defaulted,1
LN01669,CUST02071,BR048,Vehicle,2024-11-04,279144.75,15.63,24,513,Defaulted,1
LN03573,CUST03854,BR029,Personal,2026-03-08,-410873.79,16.46,36,412,Approved,0
LN00496,CUST04079,BR049,Personal,2025-01-08,382398.61,15.79,12,756,Approved,0
LN05513,CUST02598,BR019,Home,2025-06-18,285999.71,8.19,60,569,Defaulted,1
LN04460,CUST07850,BR039,Education,2025-12-11,495455.28,9.91,120,842,Rejected,0
LN01905,CUST01798,BR004,Home,2024-10-31,278391.35,12.18,120,779,Rejected,0
LN03840,CUST07352,BR006,Education,2025-09-15,153962.99,12.9,120,578,Active,0
LN02849,CUST05889,BR018,Vehicle,2025-06-20,52472.49,8.4,120,855,Closed,0
LN00802,CUST05122,BR023,Home,2025-07-15,417790.63,10.73,60,627,Active,0
LN03054,CUST08016,BR010,Home,2025-02-13,384871.16,7.5,24,658,Approved,0
LN03483,CUST07423,BR034,Home,2026-07-04,44272.56,13.96,60,541,Approved,0
LN05435,CUST05974,BR047,Home,2026-05-15,362683.09,8.6,36,338,Defaulted,1
LN05721,CUST06449,BR025,Education,2024-11-17,227724.23,15.44,24,652,Rejected,0
LN01425,CUST00317,BR030,Personal,2025-07-25,490850.86,10.91,120,389,Rejected,0
LN05465,CUST02181,BR014,Vehicle,2025-11-19,269295.48,16.02,36,898,Active,0
LN05002,CUST02776,BR002,Personal,2025-03-12,291233.21,12.06,12,739,Approved,0
LN01666,CUST07005,BR028,Personal,2026-02-16,124858.81,14.79,60,800,Active,0
LN03352,CUST08682,BR048,Vehicle,2025-03-26,283820.45,10.46,24,475,Rejected,0
LN03724,CUST01306,BR018,Vehicle,2026-04-06,286466.81,17.98,12,486,Active,0
LN02313,CUST00448,BR033,Education,2026-01-14,342743.86,14.59,12,367,Approved,0
LN03009,CUST03162,BR049,Education,2025-05-28,103466.65,16.13,24,351,Rejected,0
LN05723,CUST03199,BR013,Education,2025-11-04,225486.57,10.3,36,689,Active,0
LN02769,CUST07429,BR012,Vehicle,2025-10-16,52842.02,9.27,120,748,Approved,0
LN00519,CUST04171,BR021,Personal,2026-07-31,338390.88,14.72,24,786,Closed,0
LN05172,CUST06360,BR037,Education,2026-07-21,82107.27,16.86,36,734,Active,0
LN02730,CUST05154,BR041,Education,2026-09-02,182433.48,13.22,36,344,Defaulted,1
LN01692,CUST09131,BR023,Vehicle,2026-03-05,60617.23,17.68,120,587,Approved,0
LN05713,CUST09112,BR019,Personal,2025-05-05,13582.14,10.95,120,779,Approved,0
LN01028,CUST06514,BR049,Home,2026-02-16,98123.78,9.13,60,569,Rejected,0
LN02599,CUST09752,BR028,Personal,2024-10-07,226338.3,13.46,120,697,Rejected,0
LN03334,CUST00630,BR001,Vehicle,2025-11-03,419535.84,17.34,60,734,Defaulted,1
LN00655,CUST01838,BR043,Home,2026-05-01,339105.03,6.51,36,469,Defaulted,1
LN00420,CUST08130,BR044,Home,2026-04-11,232116.87,6.73,120,500,Rejected,0
LN04721,CUST04266,BR002,Home,2025-12-04,179060.13,9.13,120,518,Defaulted,1
LN01946,CUST09738,BR008,Home,2024-12-15,426721.93,13.09,12,553,Closed,0
LN05897,CUST07996,BR044,Personal,2025-09-24,284990.77,11.68,60,557,Active,0
LN00741,CUST02832,BR032,Education,2025-07-20,308257.49,9.87,36,327,Approved,0
LN02549,CUST00475,BR019,Home,2025-06-23,339745.7,12.18,36,305,Rejected,0
LN03204,CUST08389,BR021,Personal,2025-10-07,349295.77,9.38,60,544,Rejected,0
LN04763,CUST05634,BR021,Vehicle,2026-01-07,29978.9,13.93,24,585,Closed,0
LN00042,CUST08433,BR025,Personal,2026-03-04,184116.46,7.53,36,327,Active,0
LN04740,CUST01764,BR043,Education,2025-08-07,193580.01,15.07,24,758,Rejected,0
LN04978,CUST07206,BR030,Education,2024-11-11,364051.51,17.96,36,531,Defaulted,1
LN02197,CUST07099,BR038,Home,2024-12-23,96000.61,11.98,60,677,Approved,0
LN00107,CUST02731,BR018,Vehicle,2025-12-25,357971.07,11.76,12,729,Rejected,0
LN05773,CUST06256,BR033,Vehicle,2024-11-08,196000.89,10.82,120,667,Closed,0
LN03477,CUST04200,BR031,Vehicle,2025-11-23,238277.15,14.24,60,801,Closed,0
LN00194,CUST00202,BR037,Personal,2026-02-19,118580.78,13.53,120,511,Approved,0
LN05020,CUST03629,BR011,Home,2024-09-17,251713.85,6.32,24,696,Approved,0
LN04863,CUST04319,BR043,Home,2026-03-23,483475.36,17.29,12,386,Defaulted,1
LN02272,CUST07165,BR047,Personal,2026-01-12,351304.12,14.94,120,524,Approved,0
LN01181,CUST08041,BR047,Vehicle,2026-02-26,410371.62,9.04,24,395,Defaulted,1
LN03335,CUST09171,BR027,Vehicle,2025-06-29,308071.42,9.8,36,826,Defaulted,1
LN05972,CUST01738,BR006,Personal,2025-03-14,356867.1,13.22,24,311,Rejected,0
LN03027,CUST07166,BR007,Education,2025-07-28,117034.74,13.44,120,667,Rejected,0
LN02380,CUST09398,BR041,Vehicle,2024-10-08,248600.95,13.96,36,534,Approved,0
LN05637,CUST03797,BR000,Personal,2024-09-23,382589.82,17.73,12,331,Active,0
LN05133,CUST01652,BR027,Home,2025-05-07,219351.13,15.01,36,416,Rejected,0
LN00765,CUST04188,BR000,Education,2025-01-17,479672.97,14.83,120,415,Rejected,0
LN00500,CUST02143,BR013,Personal,2026-03-08,487230.89,13.3,36,338,Active,0
LN03805,CUST07610,BR019,Vehicle,2025-10-24,433593.68,12.7,60,371,Defaulted,1
LN01964,CUST09382,BR043,Personal,2024-10-11,93159.57,16.84,12,336,Active,0
LN02221,CUST06493,BR012,Personal,2026-07-09,218877.64,14.41,120,393,Closed,0
LN02339,CUST05189,BR010,Education,2026-06-15,467415.92,14.27,120,878,Closed,0
LN00165,CUST01998,BR046,Personal,2025-02-25,220629.62,8.91,120,604,Active,0
LN00236,CUST08815,BR003,Vehicle,2025-12-17,381483.31,12.57,60,354,Active,0
LN00835,CUST04206,BR005,Home,2025-12-14,218185.28,11.63,120,716,Closed,0
LN02212,CUST00147,BR034,Education,2025-03-05,316033.73,7.93,36,371,Approved,0
LN05249,CUST01184,BR039,Vehicle,2025-05-09,17813.39,12.18,12,397,Defaulted,1
LN03969,CUST09813,BR007,Home,2025-12-31,357095.88,13.31,60,776,Closed,0
LN04436,CUST03435,BR005,Personal,2025-10-13,21987.7,13.04,60,393,Closed,0
LN01405,CUST09547,BR029,Education,2026-06-01,101144.13,7.56,24,560,Closed,0
LN02425,CUST02839,BR005,Personal,2025-06-06,456522.2,12.19,12,408,Active,0
LN04001,CUST02382,BR032,Education,2026-08-22,236982.52,13.6,60,484,Rejected,0
LN02759,CUST00771,BR004,Education,2026-08-03,156090.06,9.54,24,359,Defaulted,1
LN01992,CUST03874,BR023,Vehicle,2024-10-29,375893.58,12.18,120,510,Rejected,0
LN03208,CUST01948,BR023,Vehicle,2025-09-23,264354.95,12.44,120,439,Rejected,0
LN04537,CUST06995,BR045,Home,2026-01-22,275600.57,10.75,60,485,Active,0
LN02511,CUST08103,BR027,Education,2026-04-15,355363.84,6.76,24,740,Active,0
LN01116,CUST07970,BR000,Vehicle,2025-09-21,376563.79,10.66,36,596,Active,0
LN04548,CUST03970,BR031,Education,2025-08-24,330136.56,11.87,60,762,Defaulted,1
LN02418,CUST08895,BR031,Personal,2025-01-02,84874.85,15.02,60,440,Defaulted,1
LN02109,CUST01179,BR030,Vehicle,2024-09-28,478698.6,11.97,60,420,Active,0
LN02538,CUST02274,BR015,Home,2026-06-04,55362.27,17.35,120,782,Approved,0
LN05389,CUST09643,BR040,Vehicle,2026-01-10,308555.75,9.46,36,346,Closed,0
LN05872,CUST01861,BR038,Vehicle,2026-02-18,262344.05,8.59,120,431,Closed,0
LN05705,CUST04174,BR004,Education,2025-02-15,395222.53,13.57,12,381,Active,0
LN04977,CUST04883,BR024,Personal,2025-04-11,207469.88,12.96,60,376,Approved,0
LN00841,CUST02739,BR000,Education,2026-06-03,155009.11,10.49,12,811,Defaulted,1
LN05411,CUST01366,BR038,Home,2025-05-13,246918.47,6.9,24,334,Rejected,0
LN02972,CUST04916,BR047,Personal,2025-05-02,419164.68,8.14,24,559,Active,0
LN04385,CUST05374,BR005,Education,2026-02-17,265803.72,12.8,24,800,Rejected,0
LN05033,CUST06010,BR010,Vehicle,2025-03-28,286960.93,8.51,36,795,Closed,0
LN00736,CUST07043,BR010,Vehicle,2026-08-10,237276.57,7.54,24,408,Closed,0
LN03047,CUST09094,BR025,Home,2026-02-24,254286.99,6.93,24,723,Rejected,0
LN03669,CUST00887,BR023,Home,2025-01-24,351841.06,9.96,120,471,Rejected,0
LN01112,CUST07218,BR020,Education,2025-09-26,239349.82,16.67,120,563,Rejected,0
LN02398,CUST03471,BR045,Home,2025-12-16,145202.05,9.84,12,724,Defaulted,1
LN04617,CUST00896,BR014,Vehicle,2025-03-19,-255500.08,15.81,120,379,Approved,0
LN02357,CUST01080,BR034,Education,2025-08-23,65478.12,16.68,12,356,Approved,0
LN04738,CUST00607,BR026,Personal,2025-07-13,137638.91,15.35,36,673,Approved,0
LN04440,CUST01848,BR008,Vehicle,2025-05-23,147952.17,14.23,120,885,Defaulted,1
LN02529,CUST07193,BR009,Vehicle,2025-09-01,210653.18,8.8,120,759,Rejected,0
LN00815,CUST03086,BR024,Education,2025-08-04,98933.84,11.43,12,648,Closed,0
LN03574,CUST07263,BR009,Vehicle,2025-06-16,457300.76,15.09,120,611,Rejected,0
LN04944,CUST02842,BR013,Vehicle,2026-02-20,307914.23,6.33,36,384,Rejected,0
LN01797,CUST99999,BR022,Vehicle,2024-12-12,467401.67,17.1,36,533,Rejected,0
LN00158,CUST07526,BR018,Education,2026-04-11,285191.92,12.81,12,713,Closed,0
LN00106,CUST08996,BR014,Home,2024-11-02,60898.16,13.37,12,885,Closed,0
LN02342,CUST00697,BR048,Home,2026-01-21,364136.37,7.04,60,597,Defaulted,1
LN02567,CUST01898,BR037,Personal,2026-06-15,215830.71,6.62,12,777,Active,0
LN03676,CUST06340,BR005,Home,2026-06-18,202146.07,10.94,60,537,Rejected,0
LN01461,CUST09739,BR036,Home,2025-03-01,121323.71,17.09,24,853,Defaulted,1
LN00337,CUST00784,BR029,Education,2025-08-03,484227.95,8.95,60,729,Defaulted,1
LN03380,CUST05085,BR015,Personal,2025-07-26,50818.27,6.88,12,818,Defaulted,1
LN00682,CUST07190,BR016,Personal,2025-12-22,144255.39,13.85,36,348,Rejected,0
LN03827,CUST03641,BR021,Personal,2025-12-21,287440.36,16.57,12,754,Defaulted,1
LN03075,CUST00276,BR039,Personal,2024-12-12,109787.83,17.77,12,621,Approved,0
LN05260,CUST09898,BR042,Education,2026-07-02,299589.98,16.42,24,779,Closed,0
LN02679,CUST00141,BR048,Home,2026-01-14,51213.95,13.86,120,525,Rejected,0
LN02722,CUST03198,BR030,Vehicle,2025-04-23,32005.65,12.82,24,491,Closed,0
LN01551,CUST00959,BR033,Vehicle,2026-01-27,117490.35,8.21,12,377,Rejected,0
LN04854,CUST04159,BR007,Home,2024-10-31,170895.31,11.17,120,397,Approved,0
LN00111,CUST08110,BR043,Vehicle,2026-03-28,230182.15,13.9,120,364,Defaulted,1
LN01885,CUST07311,BR036,Home,2025-02-02,173000.71,17.63,36,323,Active,0
LN01806,CUST08125,BR006,Education,2026-06-08,171010.16,14.04,36,362,Closed,0
LN01218,CUST07479,BR043,Education,2026-07-17,290103.46,17.45,36,344,Defaulted,1
LN02667,CUST01787,BR005,Home,2024-10-30,386335.9,15.25,24,513,Approved,0
LN04154,CUST07832,BR028,Home,2024-11-10,324943.53,12.28,12,359,Rejected,0
LN01131,CUST02198,BR000,Personal,2025-02-03,331761.91,15.26,120,566,Active,0
LN05738,CUST06852,BR010,Home,2026-06-20,120716.83,6.18,24,304,Defaulted,1
LN04172,CUST09229,BR009,Education,2026-04-22,113126.49,12.47,120,633,Closed,0
LN01350,CUST08623,BR026,Education,2025-12-16,168362.99,14.45,36,675,Defaulted,1
LN00753,CUST07830,BR015,Education,2025-05-16,41322.35,15.97,60,794,Active,0
LN05420,CUST04086,BR006,Personal,2026-05-29,362164.94,16.1,60,825,Rejected,0
LN04532,CUST03354,BR033,Home,2025-09-21,225424.74,12.18,120,448,Rejected,0
LN03369,CUST01946,BR025,Vehicle,2025-03-12,126359.76,15.15,24,369,Approved,0
LN05031,CUST00615,BR000,Education,2026-06-08,436965.1,14.79,60,344,Rejected,0
LN04427,CUST00497,BR027,Vehicle,2025-06-01,381216.08,15.62,120,533,Active,0
LN01016,CUST01792,BR001,Personal,2026-03-19,375745.42,15.99,12,768,Approved,0
LN00669,CUST06938,BR031,Education,2025-03-29,494311.04,10.46,12,306,Rejected,0
LN04054,CUST03516,BR032,Home,2026-08-04,297455.08,11.6,60,305,Defaulted,1
LN00929,CUST07546,BR017,Education,2025-02-25,151808.51,12.08,120,655,Approved,0
LN04471,CUST00191,BR006,Vehicle,2026-05-19,441056.91,16.34,60,790,Rejected,0
LN02284,CUST04558,BR012,Vehicle,2026-06-03,27763.64,14.48,12,590,Active,0
LN00011,CUST00769,BR008,Education,2026-04-06,166627.53,11.47,60,750,Rejected,0
LN02637,CUST06049,BR047,Education,2026-01-04,221491.6,16.07,60,369,Defaulted,1
LN01600,CUST01949,BR048,Personal,2024-10-05,449630.02,17.54,120,629,Defaulted,1
