account_id,customer_id,branch_id,account_type,account_open_date,initial_balance,account_status
ACC01473,CUST02139,BR016,Savings,2025-11-14,66547.79,Closed
ACC07199,CUST09567,BR032,Savings,2023-12-20,87092.66,Dormant
ACC05048,CUST09902,BR003,Salary,2023-11-20,17833.1,Dormant
ACC06679,CUST06784,BR038,Salary,2024-05-28,31812.14,Closed
ACC00702,CUST04564,BR030,Salary,2025-05-13,90142.98,Closed
ACC00638,CUST05982,BR038,Salary,2025-11-26,20476.88,Dormant
ACC11619,CUST07352,BR015,Current,2025-10-28,68852.68,Dormant
ACC05780,CUST04001,BR044,Savings,2024-01-23,82122.46,Closed
ACC04768,CUST00020,BR045,Salary,2025-04-13,44003.4,Active
ACC02192,CUST00210,BR007,Salary,2026-07-12,70925.3,Closed
ACC11453,CUST04439,BR014,Savings,2025-03-15,31860.65,Active
ACC11131,CUST99999,BR025,Salary,2025-02-10,88327.38,Active
ACC02417,CUST05157,BR024,Salary,2023-11-18,32196.55,Dormant
ACC06770,CUST00602,BR046,Savings,2024-12-25,9307.79,Active
ACC11774,CUST09697,BR006,Current,2025-11-23,90065.89,Dormant
ACC07603,CUST03561,BR003,Salary,2026-08-23,69724.44,Dormant
ACC05811,CUST09486,BR018,Salary,2024-09-02,26555.03,Closed
ACC04189,CUST01530,BR027,Salary,2026-04-19,64936.75,Closed
ACC07229,CUST00038,BR024,Current,2024-06-06,6964.91,Active
ACC04461,CUST05771,BR018,Salary,2024-12-22,83755.05,Closed
ACC00488,CUST00070,BR036,Current,2025-03-07,85364.84,Closed
ACC05278,CUST05451,BR002,Salary,2025-11-07,5273.98,Active
ACC03901,CUST05798,BR034,Current,2025-04-03,15419.16,Closed
ACC06560,CUST07795,BR040,Current,2025-03-14,30164.05,Closed
ACC02072,CUST01992,BR028,Savings,2023-11-04,3060.35,Closed
ACC10877,CUST00623,BR036,Salary,2025-01-28,32880.66,Closed
ACC11916,CUST03784,BR033,Savings,2024-12-28,11551.13,Active
ACC04544,CUST04807,BR018,Current,2026-06-17,48490.7,Active
ACC01483,CUST02929,BR040,Current,2024-12-20,88576.67,Active
ACC04207,CUST00769,BR013,Salary,2024-06-17,43013.55,Closed
ACC07743,CUST09702,BR046,Savings,2024-01-29,21703.54,Dormant
ACC01532,CUST00770,BR015,Savings,2025-01-06,84386.31,Dormant
ACC11226,CUST04391,BR022,Current,2024-12-22,55415.77,Active
ACC05868,CUST07324,BR042,Salary,2026-01-30,78101.3,Active
ACC08532,CUST08372,BR036,Current,2025-07-17,86510.94,Closed
ACC07194,CUST08503,BR014,Salary,2024-07-28,10290.19,Closed
ACC01451,CUST05655,BR028,Salary,2024-06-06,4398.79,Dormant
ACC01283,CUST04341,BR025,Salary,2026-06-27,71048.11,Dormant
ACC09119,CUST01451,BR039,Savings,2023-12-04,58509.35,Active
ACC04729,CUST07442,BR036,Current,2025-01-05,34395.84,Closed
ACC06279,CUST03130,BR035,Current,2025-09-08,39731.73,Closed
ACC11393,CUST04769,BR000,Current,2024-06-23,31788.81,Dormant
ACC04478,CUST00302,BR030,Savings,2024-06-26,29104.79,Dormant
ACC06361,CUST04147,BR031,Salary,2025-03-01,41374.26,Active
ACC10426,CUST06759,BR045,Current,2023-12-31,77206.5,Active
ACC11080,CUST08479,BR034,Current,2024-03-14,35501.31,Closed
ACC03555,CUST05254,BR049,Savings,2024-09-30,12641.16,Dormant
ACC01490,CUST07557,BR022,Savings,2025-07-02,67367.72,Active
ACC07275,CUST08431,BR032,Savings,2024-07-30,29022.5,Active
ACC05474,CUST05786,BR013,Salary,2024-01-04,55294.92,Closed
ACC09203,CUST02665,BR036,Salary,2023-09-13,80380.61,Active
ACC09193,CUST08020,BR007,Salary,2026-08-23,764.78,Dormant
ACC04038,CUST04474,BR012,Savings,2024-01-29,29755.97,Active
ACC07556,CUST06580,BR024,Salary,2023-11-06,8447.13,Dormant
ACC09592,CUST00001,BR030,Salary,2023-10-06,7231.78,Closed
ACC05900,CUST01570,BR017,Savings,2025-02-21,38935.06,Active
ACC05843,CUST06438,BR028,Savings,2026-04-07,57529.17,Dormant
ACC03811,CUST06971,BR014,Current,2024-04-09,76518.14,Closed
ACC01649,CUST99999,BR012,Current,2026-07-28,62262.04,Active
ACC01877,CUST08126,BR026,Salary,2024-01-06,21996.0,Closed
ACC00509,CUST03728,BR008,Salary,2025-11-11,49504.91,Closed
ACC00608,CUST08395,BR028,Savings,2024-08-13,39040.7,Closed
ACC05856,CUST04937,BR028,Salary,2025-10-29,13606.6,Active
ACC10889,CUST05751,BR004,Salary,2024-03-28,74745.83,Active
ACC11652,CUST03322,BR016,Current,2025-05-08,75794.52,Closed
ACC05221,CUST04940,BR020,Current,2026-07-03,16908.22,Dormant
ACC00902,CUST05064,BR021,Current,2023-11-18,65025.53,Closed
ACC07623,CUST02090,BR027,Salary,2025-11-02,63814.46,Dormant
ACC01668,CUST08456,BR024,Salary,2024-03-13,99413.18,Active
ACC08852,CUST07778,BR007,Current,2026-01-20,90910.89,Active
ACC03296,CUST02920,BR016,Savings,2025-03-13,9058.81,Closed
ACC05321,CUST07335,BR015,Savings,2026-02-18,7634.13,Active
ACC03584,CUST07978,BR002,Savings,2025-08-21,19633.12,Dormant
ACC01534,CUST07590,BR012,Current,2025-01-06,17496.6,Dormant
ACC03643,CUST08573,BR042,Current,2024-01-28,74662.35,Dormant
ACC09226,CUST07236,BR016,Savings,2026-08-11,25753.63,Closed
ACC11120,CUST05818,BR026,Savings,2026-07-28,46516.73,Active
ACC05234,CUST04987,BR034,Current,2025-11-01,62136.08,Dormant
ACC07082,CUST04364,BR000,Savings,2025-07-03,5717.24,Active
ACC03368,CUST02205,BR006,Current,2026-01-25,52945.89,Closed
ACC08994,CUST00438,BR014,Salary,2024-07-15,32935.58,Closed
ACC00951,CUST00000,BR034,Salary,2024-12-26,92703.02,Closed
ACC10319,CUST09805,BR038,Salary,2024-11-18,11873.6,Active
ACC08712,CUST06808,BR006,Savings,2025-06-28,57864.75,Dormant
ACC09682,CUST09922,BR042,Savings,2023-10-08,72011.54,Active
ACC04218,CUST00506,BR030,Salary,2024-01-07,13457.68,Active
ACC06778,CUST07959,BR025,Current,2025-03-08,62144.76,Closed
ACC07186,CUST09756,BR006,Current,2025-11-26,8607.51,Active
ACC11388,CUST04362,BR039,Savings,2025-10-28,20678.5,Dormant
ACC05446,CUST06808,BR015,Salary,2024-09-25,83531.83,Active
ACC04733,CUST00244,BR005,Salary,2025-10-29,78810.07,Dormant
ACC06807,CUST08331,BR034,Salary,2024-09-16,88070.96,Dormant
ACC04276,CUST00947,BR013,Savings,2025-09-27,65634.78,Closed
ACC06466,CUST09773,BR020,Savings,2025-04-04,17071.57,Active
ACC07725,CUST02014,BR003,Salary,2026-07-20,86261.96,Dormant
ACC04120,CUST03190,BR039,Savings,2025-03-13,27061.72,Active
ACC04845,CUST02888,BR026,Savings,2024-01-26,70170.9,Closed
ACC10533,CUST07845,BR020,Salary,2023-12-02,57460.3,Active
ACC03372,CUST00664,BR004,Savings,2025-05-30,97882.36,Closed
ACC10057,CUST06215,BR033,Savings,2025-08-07,50420.0,Active
ACC06729,CUST06968,BR038,Savings,2024-05-30,48347.54,Dormant
ACC09917,CUST06086,BR046,Savings,2023-12-11,30848.42,Dormant
ACC08752,CUST05615,BR016,Savings,2023-09-28,4445.93,Closed
ACC05757,CUST01912,BR000,Savings,2024-08-30,38623.88,Active
ACC06028,CUST09561,BR000,Salary,2026-02-07,60917.65,Active
ACC07059,CUST02937,BR009,Savings,2025-06-17,21728.33,Active
ACC01705,CUST07669,BR046,Salary,2025-03-24,82352.04,Dormant
ACC06298,CUST02609,BR040,Salary,2025-05-05,71493.68,Active
ACC11551,CUST09388,BR030,Salary,2026-02-19,74526.65,Active
ACC00563,CUST01952,BR014,Salary,2025-08-31,99299.8,Dormant
ACC07668,CUST07835,BR017,Current,2024-03-07,25978.25,Active
ACC06602,CUST05534,BR021,Salary,2026-05-18,27618.78,Closed
ACC10399,CUST05705,BR029,Salary,2024-01-02,79906.91,Dormant
ACC06960,CUST04126,BR008,Savings,2024-04-06,81854.65,Dormant
ACC08790,CUST03286,BR026,Salary,2026-07-10,62628.38,Dormant
ACC05257,CUST03693,BR048,Salary,2026-07-14,80541.92,Closed
ACC00805,CUST07669,BR001,Current,2025-12-23,93083.92,Dormant
ACC01369,CUST06096,BR049,Current,2023-12-16,38765.11,Dormant
ACC11908,CUST03888,BR000,Salary,2024-02-08,2108.57,Active
ACC11696,CUST05296,BR007,Savings,2025-09-14,60805.04,Closed
ACC08342,CUST04813,BR040,Salary,2025-08-17,70120.02,Closed
ACC06853,CUST04320,BR035,Salary,2024-02-21,61845.97,Dormant
ACC10400,CUST07136,BR015,Savings,2024-10-01,25421.44,Dormant
ACC09447,CUST06020,BR027,Savings,2023-09-18,68148.31,Closed
ACC02331,CUST07189,BR019,Current,2024-09-18,88105.59,Dormant
ACC07595,CUST03473,BR000,Current,2026-02-16,10637.14,Closed
ACC10447,CUST07858,BR042,Current,2026-04-14,26896.21,Dormant
ACC01065,CUST09510,BR010,Current,2024-01-23,10113.84,Active
ACC03944,CUST02303,BR013,Current,2026-05-25,86761.13,Closed
ACC07101,CUST06988,BR005,Salary,2026-02-12,11951.88,Active
ACC09530,CUST05217,BR024,Current,2025-07-19,14596.71,Dormant
ACC00827,CUST04379,BR042,Current,2025-10-05,24895.36,Closed
ACC07149,CUST09097,BR031,Current,2026-08-15,71396.3,Active
ACC11216,CUST02452,BR046,Current,2025-07-02,59619.85,Dormant
ACC05650,CUST06902,BR000,Current,2024-08-31,71681.78,Closed
ACC03912,CUST03025,BR042,Salary,2025-12-28,49940.43,Active
ACC06058,CUST01841,BR009,Current,2026-06-14,26165.69,Active
ACC05454,CUST01068,BR005,Current,2025-02-05,98131.38,Active
ACC02445,CUST07903,BR013,Savings,2025-04-03,9804.55,Active
ACC06987,CUST04402,BR037,Savings,2026-04-16,2558.52,Active
ACC08499,CUST02986,BR012,Savings,2024-12-24,94476.96,Dormant
ACC01843,CUST09909,BR037,Salary,2026-06-24,30921.65,Closed
ACC05719,CUST02202,BR024,Savings,2026-08-12,76755.38,Closed
ACC03483,CUST07454,BR030,Savings,2023-10-29,37591.88,Active
ACC07710,CUST04237,BR048,Salary,2025-05-08,1320.56,Active
ACC08555,CUST04851,BR012,Savings,2024-11-05,59095.23,Dormant
ACC00552,CUST09247,BR041,Current,2025-05-31,16404.43,Dormant
ACC01278,CUST09715,BR042,Savings,2026-02-17,60151.23,Active
ACC10206,CUST00993,BR014,Current,2025-06-28,15211.57,Dormant
ACC05765,CUST00491,BR044,Savings,2025-02-15,65886.04,Active
ACC03309,CUST05865,BR045,Savings,2023-09-25,11239.12,Dormant
ACC02831,CUST03001,BR042,Salary,2026-02-19,57749.14,Dormant
ACC09962,CUST08455,BR033,Salary,2024-01-14,64918.58,Active
ACC07649,CUST07259,BR041,Savings,2025-02-22,34990.72,Dormant
ACC02767,CUST09516,BR004,Current,2025-04-12,38163.04,Closed
ACC00374,CUST09998,BR017,Current,2024-04-01,58456.27,Active
ACC07613,CUST00700,BR032,Savings,2026-02-14,90106.34,Dormant
ACC02673,CUST04690,BR035,Salary,2024-05-14,90727.66,Closed
ACC02003,CUST04067,BR009,Current,2024-09-18,27069.72,Closed
ACC11813,CUST07181,BR010,Salary,2023-11-19,59634.67,Dormant
ACC03842,CUST09864,BR026,Salary,2024-05-25,34282.45,Closed
ACC00671,CUST00166,BR045,Savings,2026-08-24,67776.89,Active
ACC08983,CUST05550,BR027,Salary,2024-07-30,62577.98,Active
ACC02944,CUST00422,BR003,Current,2025-06-13,10724.17,Active
ACC10461,CUST08354,BR041,Salary,2025-06-08,91642.37,Dormant
ACC00741,CUST04056,BR015,Current,2024-05-02,34873.45,Dormant
ACC01220,CUST04812,BR020,Salary,2023-10-23,22059.88,Dormant
ACC05107,CUST03101,BR047,Current,2026-08-10,34718.37,Dormant
ACC03319,CUST07883,BR000,Salary,2024-08-17,7516.94,Dormant
ACC03691,CUST01278,BR045,Current,2024-05-01,33857.17,Dormant
ACC09820,CUST07169,BR028,Current,2025-03-22,23572.82,Active
ACC05578,CUST05462,BR005,Savings,2026-06-04,26695.94,Active
ACC00331,CUST07907,BR021,Savings,2026-03-21,13295.74,Closed
ACC08617,CUST02721,BR024,Savings,2025-09-22,67442.48,Active
ACC05770,CUST07856,BR026,Salary,2023-11-28,37915.45,Closed
ACC02289,CUST09174,BR047,Salary,2024-10-24,20075.68,Dormant
ACC01366,CUST04256,BR015,Savings,2026-04-13,91226.81,Closed
ACC04427,CUST99999,BR040,Savings,2026-01-30,30892.4,Dormant
ACC09118,CUST00595,BR036,Salary,2026-03-12,64951.53,Closed
ACC07006,CUST01473,BR015,Savings,2024-11-30,25691.37,Closed
ACC08552,CUST07353,BR036,Savings,2025-03-17,18896.47,Dormant
ACC01303,CUST09611,BR043,Savings,2026-08-01,35283.67,Active
ACC11097,CUST04427,BR032,Current,2026-06-27,71891.55,Dormant
ACC09724,CUST03501,BR018,Savings,2024-05-17,59068.1,Closed
ACC04029,CUST02471,BR049,Savings,2026-03-07,14870.1,Active
ACC06436,CUST05782,BR019,Savings,2025-10-01,9097.13,Closed
ACC07978,CUST04358,BR015,Current,2025-04-15,73332.17,Active
ACC03832,CUST01108,BR019,Savings,2026-02-20,10806.07,Closed
ACC06330,CUST02788,BR044,Savings,2023-11-13,23453.24,Active
ACC07332,CUST07729,BR018,Current,2026-08-30,53147.31,Closed
ACC11066,CUST04671,BR020,Savings,2023-11-16,71551.92,Closed
ACC04339,CUST07415,BR014,Current,2025-04-04,17324.85,Closed
ACC00066,CUST08954,BR006,Current,2024-12-01,48022.55,Active
ACC09809,CUST03460,BR042,Salary,2023-09-19,86329.19,Dormant
ACC02906,CUST00440,BR007,Savings,2026-01-24,10315.96,Closed
ACC09367,CUST08327,BR046,Salary,2025-11-20,63616.28,Dormant
ACC04414,CUST04999,BR005,Savings,2026-05-03,47366.38,Dormant
ACC10860,CUST04266,BR010,Current,2024-06-25,25524.16,Dormant
ACC03795,CUST09655,BR006,Salary,2024-09-13,5853.21,Dormant
ACC05266,CUST07799,BR030,Savings,2026-08-04,96318.25,Dormant
ACC06075,CUST05101,BR031,Salary,2024-04-21,4953.46,Active
ACC06312,CUST09317,BR010,Salary,2024-07-13,50086.33,Closed
ACC10883,CUST07244,BR020,Current,2025-12-20,10683.03,Dormant
ACC00000,CUST01440,BR011,Salary,2026-05-29,41702.55,Dormant
ACC00187,CUST06635,BR047,Salary,2024-09-14,21664.97,Closed
ACC02197,CUST03464,BR024,Savings,2024-12-03,1694.51,Closed
ACC06108,CUST07988,BR033,Savings,2024-09-07,25130.78,Active
ACC06119,CUST07328,BR041,Current,2025-09-13,99609.34,Closed
ACC04619,CUST05795,BR038,Salary,2026-03-02,22398.95,Active
ACC02683,CUST01987,BR007,Salary,2025-04-01,70731.38,Dormant
ACC00511,CUST00070,BR016,Salary,2025-04-29,3601.72,Dormant
ACC04587,CUST02894,BR020,Salary,2024-02-23,17738.36,Closed
ACC08561,CUST00427,BR006,Current,2024-12-02,69526.81,Dormant
ACC01319,CUST06866,BR030,Savings,2025-06-15,73494.43,Closed
ACC00525,CUST03399,BR026,Salary,2023-12-26,42675.54,Active
ACC09137,CUST07238,BR003,Savings,2023-10-11,65000.56,Active
ACC09171,CUST02376,BR010,Salary,2026-06-06,9196.49,Active
ACC05349,CUST05501,BR036,Current,2024-12-20,61846.4,Closed
ACC02266,CUST09389,BR022,Savings,2026-05-06,66282.95,Closed
ACC07440,CUST02513,BR034,Salary,2026-06-06,81752.21,Closed
ACC03316,CUST07405,BR032,Savings,2026-02-26,46754.81,Dormant
ACC06198,CUST08660,BR012,Salary,2026-03-24,74250.77,Active
ACC07302,CUST07797,BR036,Salary,2024-04-15,11006.51,Active
ACC10828,CUST07062,BR032,Salary,2025-02-03,47395.9,Dormant
ACC07532,CUST04176,BR049,Savings,2026-05-04,99662.47,Dormant
ACC08704,CUST07122,BR043,Savings,2026-03-12,31582.64,Dormant
ACC11856,CUST02678,BR043,Savings,2024-05-19,60953.34,Closed
ACC00725,CUST06469,BR003,Current,2024-01-14,66570.15,Closed
ACC09354,CUST01331,BR023,Current,2024-10-17,84909.7,Closed
ACC03421,CUST02026,BR038,Salary,2024-12-14,23625.68,Closed
ACC05728,CUST02102,BR044,Savings,2024-10-07,60654.42,Active
ACC11152,CUST09993,BR001,Savings,2026-04-28,67840.99,Closed
ACC06819,CUST08595,BR048,Current,2024-04-11,85581.86,Active
ACC07462,CUST04781,BR039,Salary,2025-01-12,28950.76,Active
ACC09918,CUST05457,BR006,Savings,2025-04-10,43309.48,Closed
ACC04063,CUST04882,BR012,Savings,2026-04-27,9579.18,Dormant
ACC04258,CUST04468,BR008,Current,2024-01-01,825.46,Closed
ACC02901,CUST06083,BR003,Salary,2023-11-09,12703.67,Dormant
ACC06726,CUST06245,BR040,Salary,2025-12-05,6839.04,Closed
ACC01391,CUST01551,BR042,Current,2026-08-25,43581.39,Closed
ACC07926,CUST00617,BR018,Salary,2024-06-02,62463.29,Closed
ACC05736,CUST01258,BR021,Current,2026-08-01,79205.53,Active
ACC02684,CUST06207,BR006,Current,2026-04-20,15246.31,Closed
ACC00126,CUST07403,BR034,Savings,2025-05-21,70156.39,Dormant
ACC11659,CUST03601,BR042,Current,2024-07-08,65220.43,Dormant
ACC07448,CUST03112,BR021,Current,2023-09-09,53482.32,Dormant
ACC01627,CUST04384,BR019,Salary,2024-05-10,66331.87,Dormant
ACC03370,CUST04646,BR016,Savings,2025-08-26,75736.83,Dormant
ACC06458,CUST02951,BR002,Current,2025-10-11,45547.81,Active
ACC05846,CUST03097,BR046,Current,2025-05-28,62312.58,Dormant
ACC10403,CUST04432,BR021,Current,2025-02-01,97639.53,Closed
ACC10880,CUST08514,BR031,Salary,2024-05-09,91236.63,Closed
ACC04500,CUST04783,BR010,Salary,2024-09-30,11646.8,Closed
ACC08234,CUST08343,BR039,Savings,2023-12-22,31851.1,Active
ACC11054,CUST07799,BR044,Current,2023-10-22,38896.02,Active
ACC04212,CUST02641,BR020,Salary,2026-05-29,63062.93,Closed
ACC01017,CUST04431,BR037,Savings,2024-01-11,19608.95,Closed
ACC07631,CUST03384,BR047,Savings,2024-10-12,13825.94,Closed
ACC07325,CUST07780,BR005,Salary,2025-05-09,77212.44,Dormant
ACC02643,CUST07090,BR009,Salary,2024-01-21,24042.63,Dormant
ACC04863,CUST09131,BR022,Savings,2025-01-06,67968.91,Active
ACC04904,CUST04915,BR017,Savings,2025-07-20,81838.16,Closed
ACC04692,CUST06445,BR042,Current,2026-05-21,12229.66,Closed
ACC06277,CUST01068,BR000,Current,2023-12-28,29957.66,Active
ACC00153,CUST04777,BR037,Salary,2025-12-21,92024.18,Closed
ACC02399,CUST02327,BR019,Current,2026-05-04,69221.31,Active
ACC01530,CUST05289,BR004,Current,2025-06-16,58047.82,Closed
ACC05946,CUST04228,BR005,Current,2025-05-19,98269.69,Active
ACC10551,CUST07510,BR029,Current,2026-02-23,12969.27,Dormant
ACC05331,CUST03177,BR043,Current,2023-10-05,75689.75,Dormant
ACC00368,CUST07743,BR037,Current,2024-02-11,12612.59,Dormant
ACC07854,CUST06736,BR001,Salary,2025-12-17,61085.39,Closed
ACC03815,CUST02340,BR044,Salary,2025-10-19,8274.04,Dormant
ACC06903,CUST07135,BR020,Salary,2025-08-19,17537.3,Active
ACC10441,CUST08783,BR014,Salary,2023-12-19,68927.06,Closed
ACC11187,CUST00704,BR049,Savings,2024-09-28,31667.65,Dormant
ACC05185,CUST99999,BR015,Savings,2025-04-02,29612.52,Active
ACC09312,CUST00885,BR000,Current,2025-06-27,23799.19,Closed
ACC07727,CUST04628,BR040,Current,2023-12-23,12377.02,Active
ACC04242,CUST08189,BR002,Current,2025-06-21,95944.17,Dormant
ACC07689,CUST02277,BR017,Salary,2025-04-24,4172.79,Dormant
ACC00721,CUST03125,BR028,Current,2025-04-19,72789.09,Dormant
ACC01122,CUST03173,BR009,Salary,2026-01-12,47681.84,Closed
ACC03045,CUST09495,BR014,Savings,2024-12-17,81747.22,Dormant
ACC10612,CUST09703,BR021,Current,2023-10-11,25743.7,Closed
ACC08269,CUST09892,BR007,Savings,2025-08-11,74956.07,Dormant
ACC11740,CUST06042,BR033,Current,2025-11-08,88980.7,Closed
ACC01261,CUST00098,BR019,Salary,2025-02-26,26018.05,Dormant
ACC09442,CUST06615,BR027,Current,2025-08-14,11106.03,Dormant
ACC02950,CUST08984,BR035,Salary,2024-10-18,84845.07,Dormant
ACC03924,CUST00461,BR024,Salary,2025-12-10,14654.6,Active
